Gene	Uniprot	Biotype	Chr	Cytoband	Druggable	Cancer_Gene_Census	Oncogene	Tumor_suppressor	CNV_log2_ratios	CNV_type	CNV_max_abs_log2	SV	RNA_raw_count	RNA_TPM	RNA_z_score	Variant	Variant_Chr_Pos	Actionable	Variant_Impact	DNA_Tumor_VAF	DNA_Tumor_DP	DNA_Normal_VAF	DNA_Normal_DP	RNA_Tumor_VAF	RNA_Tumor_DP	Tier	Drugs	CNV_log2_adj	CNV_copies	CNV_log2_max_adj	CNV_max_copies
PSMA2P3	-	pseudogene	2	q33.1	-	-	-	-	0.005	largescale	0.005	-	7	0.980	-	-	-	-	-	-	-	-	-	-	-	-	-	0.033	2.046	0.033	2.046
PSMA2P1	-	pseudogene	11	q14.2	-	-	-	-	-0.000	largescale	-0.0	-	3	0.439	-	-	-	-	-	-	-	-	-	-	-	-	-	0.000	2.000	0.000	2.000
CPHL1P	-	pseudogene	3	q25.1	-	-	-	-	0.010	largescale	0.01	-	1	0.024	-	-	-	-	-	-	-	-	-	-	-	-	-	0.065	2.093	0.065	2.093
SSXP10	-	pseudogene	6	q22.31	-	-	-	-	0.002	largescale	0.002	-	26	4.348	-	-	-	-	-	-	-	-	-	-	-	-	-	0.013	2.018	0.013	2.018
TCOF1	-	protein_coding	5	q32	-	-	-	-	-0.001	largescale	-0.001	-	6358	53.266	1.015	-	-	-	-	-	-	-	-	-	-	-	-	-0.007	1.991	-0.007	1.991
NSRP1	-	protein_coding	17	q11.2	-	-	-	-	0.004	largescale	0.004	-	11405	224.220	0.752	-	-	-	-	-	-	-	-	-	-	-	-	0.026	2.037	0.026	2.037
SPPL3	-	protein_coding	12	q24.31	-	-	-	-	-0.008	focal	-0.008	-	372	5.268	-2.558	-	-	-	-	-	-	-	-	-	-	-	-	-0.054	1.926	-0.054	1.926
OPA3	-	protein_coding	19	q13.32	-	-	-	-	0.002	focal	0.002	-	221	2.088	-0.629	-	-	-	-	-	-	-	-	-	-	-	-	0.013	2.018	0.013	2.018
OPA1	-	protein_coding	3	q29	-	-	-	-	0.010	largescale	0.01	-	9914	110.881	0.051	-	-	-	-	-	-	-	-	-	-	-	-	0.065	2.093	0.065	2.093
RNU6-1209P	-	snRNA	8	q22.1	-	-	-	-	-0.003	largescale	-0.003	-	0	0.000	-	-	-	-	-	-	-	-	-	-	-	-	-	-0.020	1.972	-0.020	1.972
RNU4ATAC18P	-	snRNA	6	q25.3	-	-	-	-	0.002	largescale	0.002	-	0	0.000	-	-	-	-	-	-	-	-	-	-	-	-	-	0.013	2.018	0.013	2.018
RNF219-AS1	-	antisense	13	q31.1,q22.3	-	-	-	-	-0.014	largescale	-0.014	-	147	1.580	0.205	-	-	-	-	-	-	-	-	-	-	-	-	-0.096	1.871	-0.096	1.871
ITGA8	P53708	protein_coding	10	p13	-	-	-	-	-0.129	largescale	-0.129	-	68	0.853	-1.148	-	-	-	-	-	-	-	-	-	-	-	-	-1.218	0.860	-1.218	0.860
ITGA9	Q13797	protein_coding	3	p22.2	-	-	-	-	0.002	largescale	0.002	-	1738	19.840	0.481	-	-	-	-	-	-	-	-	-	-	-	-	0.013	2.018	0.013	2.018
ITGA1	P56199	protein_coding	5	q11.2	-	-	-	-	-0.015	largescale	-0.015	-	5922	30.138	-0.490	-	-	-	-	-	-	-	-	-	-	-	-	-0.103	1.862	-0.103	1.862
ITGA2	P17301	protein_coding	5	q11.2	-	-	-	-	-0.015	largescale	-0.015	-	2430	29.026	-0.356	-	-	-	-	-	-	-	-	-	-	-	-	-0.103	1.862	-0.103	1.862
ITGA3	P26006	protein_coding	17	q21.33	-	-	-	-	0.004	largescale	0.004	-	5580	53.788	0.034	-	-	-	-	-	-	-	-	-	-	-	-	0.026	2.037	0.026	2.037
ITGA4	P13612	protein_coding	2	q31.3	-	-	-	-	0.005	largescale	0.005	-	2377	28.426	-0.199	-	-	-	-	-	-	-	-	-	-	-	-	0.033	2.046	0.033	2.046
ITGA5	P08648	protein_coding	12	q13.13	-	-	-	-	-0.127	focal	-0.127	-	1373	17.121	0.019	-	-	-	-	-	-	-	-	-	-	-	-	-1.190	0.876	-1.190	0.876
ITGA6	P23229	protein_coding	2	q31.1	-	-	-	-	0.005	largescale	0.005	-	2341	32.994	-1.569	-	-	-	-	-	-	-	-	-	-	-	-	0.033	2.046	0.033	2.046
ITGA7	Q13683	protein_coding	12	q13.2	-	-	-	-	-0.127	focal	-0.127	-	1704	25.247	-0.947	-	-	-	-	-	-	-	-	-	-	-	-	-1.190	0.876	-1.190	0.876
TRHR	P34981	protein_coding	8	q23.1	yes	-	-	-	-0.003	largescale	-0.003	-	191	10.755	-	-	-	-	-	-	-	-	-	-	-	-	THYROTROPIN-RELEASING	-0.020	1.972	-0.020	1.972
CA15P1	-	pseudogene	22	q11.21	-	-	-	-	0.015	largescale	0.015	-	3	0.313	-	-	-	-	-	-	-	-	-	-	-	-	-	0.097	2.139	0.097	2.139
CA15P2	-	pseudogene	22	q11.21	-	-	-	-	0.015	largescale	0.015	-	1	0.107	-	-	-	-	-	-	-	-	-	-	-	-	-	0.097	2.139	0.097	2.139
UFSP1	-	protein_coding	7	q22.1	-	-	-	-	0.110	largescale	0.11	-	55	5.228	0.449	-	-	-	-	-	-	-	-	-	-	-	-	0.612	3.056	0.612	3.056
UFSP2	-	protein_coding	4	q35.1	-	-	-	-	-0.009	largescale	-0.009	-	806	27.384	-0.281	-	-	-	-	-	-	-	-	-	-	-	-	-0.061	1.917	-0.061	1.917
MT-CYB	-	-	-	-	-	-	-	-	-	-	-	-	3380	279.894	0.093	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
TEX28P2	-	protein_coding	X	q28	-	-	-	-	-0.029	largescale	-0.029	-	0	0.000	-	-	-	-	-	-	-	-	-	-	-	-	-	-0.205	1.735	-0.205	1.735
TEX28P1	-	protein_coding	X	q28	-	-	-	-	-0.029	largescale	-0.029	-	0	0.000	-	-	-	-	-	-	-	-	-	-	-	-	-	-0.205	1.735	-0.205	1.735
FAM212B	-	protein_coding	1	p13.2	-	-	-	-	0.008	largescale	0.008	-	388	3.985	-0.702	-	-	-	-	-	-	-	-	-	-	-	-	0.053	2.074	0.053	2.074
