Gene	Uniprot	Biotype	Chr	Cytoband	Druggable	Cancer_Gene_Census	Oncogene	Tumor_suppressor	CNV_log2_ratios	CNV_type	CNV_max_abs_log2	SV	RNA_raw_count	RNA_TPM	RNA_z_score	Variant	Variant_Chr_Pos	Actionable	Variant_Impact	DNA_Tumor_VAF	DNA_Tumor_DP	DNA_Normal_VAF	DNA_Normal_DP	RNA_Tumor_VAF	RNA_Tumor_DP	Tier	Drugs	CNV_log2_adj	CNV_copies	CNV_log2_max_adj	CNV_max_copies
PSMA2P3	-	pseudogene	2	q33.1	-	-	-	-	0.029	largescale	0.029	-	0	0.000	-	-	-	-	-	-	-	-	-	-	-	-	-	0.032	2.137	0.032	2.137
PSMA2P1	-	pseudogene	11	q14.2	-	-	-	-	-0.076	largescale	-0.076	-	0	0.000	-	-	-	-	-	-	-	-	-	-	-	-	-	-0.085	1.971	-0.085	1.971
CPHL1P	-	pseudogene	3	q25.1	-	-	-	-	0.027	largescale	0.027	-	0	0.000	-	-	-	-	-	-	-	-	-	-	-	-	-	0.030	2.134	0.030	2.134
SSXP10	-	pseudogene	6	q22.31	-	-	-	-	-0.845	largescale	-0.845	-	0	0.000	-	-	-	-	-	-	-	-	-	-	-	-	-	-0.979	1.061	-0.979	1.061
TCOF1	-	protein_coding	5	q32	-	-	-	-	0.036	largescale	0.036	-	601	1.319	-2.011	-	-	-	-	-	-	-	-	-	-	-	-	0.040	2.149	0.040	2.149
NSRP1	-	protein_coding	17	q11.2	-	-	-	-	0.038	focal	0.038	-	1568	8.078	-1.557	-	-	-	-	-	-	-	-	-	-	-	-	0.042	2.152	0.042	2.152
SPPL3	-	protein_coding	12	q24.31	-	-	-	-	0.028	largescale	0.028	-	4914	18.235	-0.606	-	-	-	-	-	-	-	-	-	-	-	-	0.031	2.136	0.031	2.136
OPA3	-	protein_coding	19	q13.32	-	-	-	-	0.041	largescale	0.041	-	511	1.265	-1.108	-	-	-	-	-	-	-	-	-	-	-	-	0.045	2.157	0.045	2.157
OPA1	-	protein_coding	3	q29	-	-	-	-	0.037	focal	0.037	-	4394	12.878	-1.561	-	-	-	-	-	-	-	-	-	-	-	-	0.041	2.150	0.041	2.150
RNU6-1209P	-	snRNA	8	q22.1	-	-	-	-	0.026	largescale	0.026	-	1	0.231	-	-	-	-	-	-	-	-	-	-	-	-	-	0.029	2.132	0.029	2.132
RNU4ATAC18P	-	snRNA	6	q25.3	-	-	-	-	-0.845	largescale	-0.845	-	2	0.393	-	-	-	-	-	-	-	-	-	-	-	-	-	-0.979	1.061	-0.979	1.061
RNF219-AS1	-	antisense	13	q31.1,q22.3	-	-	-	-	0.014	largescale	0.014	-	490	1.380	0.564	-	-	-	-	-	-	-	-	-	-	-	-	0.016	2.113	0.016	2.113
ITGA8	P53708	protein_coding	10	p13	-	-	-	-	-0.843	focal	-0.843	-	114	0.375	-0.654	-	-	-	-	-	-	-	-	-	-	-	-	-0.976	1.062	-0.976	1.062
ITGA9	Q13797	protein_coding	3	p22.2	-	-	-	-	0.033	largescale	0.033	-	171	0.512	-0.866	-	-	-	-	-	-	-	-	-	-	-	-	0.037	2.144	0.037	2.144
ITGA1	P56199	protein_coding	5	q11.2	-	-	-	-	0.024	largescale	0.024	-	2359	3.146	-0.397	-	-	-	-	-	-	-	-	-	-	-	-	0.027	2.129	0.027	2.129
ITGA2	P17301	protein_coding	5	q11.2	-	-	-	-	0.024	largescale	0.024	-	2711	8.486	0.736	-	-	-	-	-	-	-	-	-	-	-	-	0.027	2.129	0.027	2.129
ITGA3	P26006	protein_coding	17	q21.33	-	-	-	-	0.033	largescale	0.033	-	1639	4.140	0.390	-	-	-	-	-	-	-	-	-	-	-	-	0.037	2.144	0.037	2.144
ITGA4	P13612	protein_coding	2	q31.3	-	-	-	-	0.029	largescale	0.029	-	635	1.990	-0.228	-	-	-	-	-	-	-	-	-	-	-	-	0.032	2.137	0.032	2.137
ITGA5	P08648	protein_coding	12	q13.13	-	-	-	-	0.028	largescale	0.028	-	1024	3.346	-0.582	-	-	-	-	-	-	-	-	-	-	-	-	0.031	2.136	0.031	2.136
ITGA6	P23229	protein_coding	2	q31.1	-	-	-	-	0.029	largescale	0.029	-	4008	14.802	-0.547	-	-	-	-	-	-	-	-	-	-	-	-	0.032	2.137	0.032	2.137
ITGA7	Q13683	protein_coding	12	q13.2	-	-	-	-	0.028	largescale	0.028	-	8505	33.021	0.965	-	-	-	-	-	-	-	-	-	-	-	-	0.031	2.136	0.031	2.136
TRHR	P34981	protein_coding	8	q23.1	yes	-	-	-	0.026	largescale	0.026	-	0	0.000	-	-	-	-	-	-	-	-	-	-	-	-	THYROTROPIN-RELEASING	0.029	2.132	0.029	2.132
CA15P1	-	pseudogene	22	q11.21	-	-	-	-	0.037	focal	0.037	-	3	0.082	-	-	-	-	-	-	-	-	-	-	-	-	-	0.041	2.150	0.041	2.150
CA15P2	-	pseudogene	22	q11.21	-	-	-	-	0.037	focal	0.037	-	0	0.000	-	-	-	-	-	-	-	-	-	-	-	-	-	0.041	2.150	0.041	2.150
UFSP1	-	protein_coding	7	q22.1	-	-	-	-	0.563	largescale	0.563	-	162	4.035	0.912	-	-	-	-	-	-	-	-	-	-	-	-	0.614	3.198	0.614	3.198
UFSP2	-	protein_coding	4	q35.1	-	-	-	-	0.021	largescale	0.021	-	4280	38.104	0.822	-	-	-	-	-	-	-	-	-	-	-	-	0.023	2.124	0.023	2.124
MT-CYB	-	-	-	-	-	-	-	-	-	-	-	-	301430	6540.825	0.560	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
TEX28P2	-	protein_coding	X	q28	-	-	-	-	0.026	largescale	0.026	-	0	0.000	-	-	-	-	-	-	-	-	-	-	-	-	-	0.029	2.132	0.029	2.132
TEX28P1	-	protein_coding	X	q28	-	-	-	-	0.026	largescale	0.026	-	0	0.000	-	-	-	-	-	-	-	-	-	-	-	-	-	0.029	2.132	0.029	2.132
FAM212B	-	protein_coding	1	p13.2	-	-	-	-	0.035	largescale	0.035	-	2865	7.711	-0.323	-	-	-	-	-	-	-	-	-	-	-	-	0.039	2.147	0.039	2.147
FAM212A	-	protein_coding	3	p21.31	-	-	-	-	0.033	largescale	0.033	-	109	2.595	0.235	-	-	-	-	-	-	-	-	-	-	-	-	0.037	2.144	0.037	2.144
CHST9	-	protein_coding	18	q11.2	-	-	-	-	0.018	largescale	0.018	-	2716	28.362	0.447	-	-	-	-	-	-	-	-	-	-	-	-	0.020	2.119	0.020	2.119
CHST8	-	protein_coding	19	q13.11	-	-	-	-	0.041	largescale	0.041	-	132	1.071	0.206	-	-	-	-	-	-	-	-	-	-	-	-	0.045	2.157	0.045	2.157
CHST1	-	protein_coding	11	p11.2	-	-	-	-	-0.076	largescale	-0.076	-	424	3.018	0.259	-	-	-	-	-	-	-	-	-	-	-	-	-0.085	1.971	-0.085	1.971
TTTY25P	-	pseudogene	Y	q11.223	-	-	-	-	0.104	largescale	0.104	-	0	0.000	-	-	-	-	-	-	-	-	-	-	-	-	-	NA	NA	NA	NA
CHST3	-	protein_coding	10	q22.1	-	-	-	-	-0.843	largescale	-0.843	-	462	1.641	-1.821	-	-	-	-	-	-	-	-	-	-	-	-	-0.976	1.062	-0.976	1.062
CHST2	-	protein_coding	3	q24	-	-	-	-	0.027	largescale	0.027	-	2828	19.858	0.978	-	-	-	-	-	-	-	-	-	-	-	-	0.030	2.134	0.030	2.134
CHST5	-	protein_coding	16	q23.1	-	-	-	-	0.011	focal	0.011	-	1	0.007	-	-	-	-	-	-	-	-	-	-	-	-	-	0.012	2.108	0.012	2.108
CHST4	-	protein_coding	16	q22.2	-	-	-	-	0.013	largescale	0.013	-	5	0.048	-	-	-	-	-	-	-	-	-	-	-	-	-	0.014	2.111	0.014	2.111
CHST7	-	protein_coding	X	p11.23	-	-	-	-	0.026	largescale	0.026	-	512	5.538	0.295	-	-	-	-	-	-	-	-	-	-	-	-	0.029	2.132	0.029	2.132
CHST6	-	protein_coding	16	q23.1	-	-	-	-	0.011	focal	0.011	-	137	0.978	-0.102	-	-	-	-	-	-	-	-	-	-	-	-	0.012	2.108	0.012	2.108
ITGAX	P20702	protein_coding	16	p11.2	-	-	-	-	0.013	largescale	0.013	-	1303	4.938	0.682	-	-	-	-	-	-	-	-	-	-	-	-	0.014	2.111	0.014	2.111
RPS4XP3	-	pseudogene	20	q13.31	-	-	-	-	0.031	largescale	0.031	-	42	2.518	-	-	-	-	-	-	-	-	-	-	-	-	-	0.034	2.140	0.034	2.140
RNA5SP356	-	rRNA	12	p11.22	-	-	-	-	0.028	largescale	0.028	-	0	0.000	-	-	-	-	-	-	-	-	-	-	-	-	-	0.031	2.136	0.031	2.136
RPS4XP6	-	pseudogene	5	p13.2	-	-	-	-	0.024	largescale	0.024	-	2	0.062	-	-	-	-	-	-	-	-	-	-	-	-	-	0.027	2.129	0.027	2.129
RPS4XP7	-	pseudogene	6	p23	-	-	-	-	0.029	largescale	0.029	-	2	0.063	-	-	-	-	-	-	-	-	-	-	-	-	-	0.032	2.137	0.032	2.137
RPS4XP4	-	pseudogene	1	p36.12	-	-	-	-	0.036	largescale	0.036	-	4	0.130	-	-	-	-	-	-	-	-	-	-	-	-	-	0.040	2.149	0.040	2.149
BCL2A1	Q16548	protein_coding	15	q25.1	-	-	-	-	0.026	largescale	0.026	-	8516	193.615	1.820	-	-	-	-	-	-	-	-	-	-	-	-	0.029	2.132	0.029	2.132
RPS4XP8	-	pseudogene	6	q25.2	-	-	-	-	-0.845	largescale	-0.845	-	0	0.000	-	-	-	-	-	-	-	-	-	-	-	-	-	-0.979	1.061	-0.979	1.061
RPS4XP9	-	pseudogene	6	q22.32	-	-	-	-	-0.845	largescale	-0.845	-	0	0.000	-	-	-	-	-	-	-	-	-	-	-	-	-	-0.979	1.061	-0.979	1.061
RNU4-76P	-	snRNA	6	q22.31	-	-	-	-	-0.845	largescale	-0.845	-	0	0.000	-	-	-	-	-	-	-	-	-	-	-	-	-	-0.979	1.061	-0.979	1.061
ITGAV	P06756	protein_coding	2	q32.1	yes	-	-	-	0.029	largescale	0.029	-	37809	114.007	0.221	-	-	-	-	-	-	-	-	-	-	-	CILENGITIDE	0.032	2.137	0.032	2.137
