Gene	Uniprot	Biotype	Chr	Cytoband	Druggable	Cancer_Gene_Census	Oncogene	Tumor_suppressor	CNV_log2_ratios	CNV_type	CNV_max_abs_log2	SV	RNA_raw_count	RNA_TPM	RNA_z_score	Variant	Variant_Chr_Pos	Actionable	Variant_Impact	DNA_Tumor_VAF	DNA_Tumor_DP	DNA_Normal_VAF	DNA_Normal_DP	RNA_Tumor_VAF	RNA_Tumor_DP	Tier	Drugs	CNV_log2_adj	CNV_copies	CNV_log2_max_adj	CNV_max_copies
PSMA2P3	-	pseudogene	2	q33.1	-	-	-	-	0.019	largescale	0.019	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.031	2.135	0.031	2.135
PSMA2P1	-	pseudogene	11	q14.2	-	-	-	-	0.007	largescale	0.007	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.011	2.107	0.011	2.107
CPHL1P	-	pseudogene	3	q25.1	-	-	-	-	0.021	largescale	0.021	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.034	2.140	0.034	2.140
SSXP10	-	pseudogene	6	q22.31	-	-	-	-	0.020	largescale	0.02	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.033	2.138	0.033	2.138
TCOF1	-	protein_coding	5	q32	-	-	-	-	0.023	largescale	0.023	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.038	2.145	0.038	2.145
NSRP1	-	protein_coding	17	q11.2	-	-	-	-	-0.031	largescale	-0.031	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-0.051	2.017	-0.051	2.017
SPPL3	-	protein_coding	12	q24.31	-	-	-	-	-0.087	focal	-0.087	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-0.146	1.889	-0.146	1.889
OPA3	-	protein_coding	19	q13.32	-	-	-	-	-0.082	focal	-0.082	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-0.137	1.901	-0.137	1.901
OPA1	-	protein_coding	3	q29	-	-	-	-	0.405	focal	0.405	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.615	3.200	0.615	3.200
RNU6-1209P	-	snRNA	8	q22.1	-	-	-	-	-0.056	largescale	-0.056	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-0.093	1.960	-0.093	1.960
RNU4ATAC18P	-	snRNA	6	q25.3	-	-	-	-	0.020	largescale	0.02	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.033	2.138	0.033	2.138
RNF219-AS1	-	antisense	13	q31.1,q22.3	-	-	-	-	-0.485	largescale	-0.485	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-0.911	1.112	-0.911	1.112
ITGA8	P53708	protein_coding	10	p13	-	-	-	-	-0.525	largescale	-0.525	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-1.000	1.045	-1.000	1.045
ITGA9	Q13797	protein_coding	3	p22.2	-	-	-	-	0.021	focal	0.021	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.034	2.140	0.034	2.140
ITGA1	P56199	protein_coding	5	q11.2	-	-	-	-	0.004	focal	0.004	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.007	2.100	0.007	2.100
ITGA2	P17301	protein_coding	5	q11.2	-	-	-	-	0.004	focal	0.004	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.007	2.100	0.007	2.100
ITGA3	P26006	protein_coding	17	q21.33	-	-	-	-	0.006	focal	0.006	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.010	2.104	0.010	2.104
ITGA4	P13612	protein_coding	2	q31.3	-	-	-	-	0.019	largescale	0.019	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.031	2.135	0.031	2.135
ITGA5	P08648	protein_coding	12	q13.13	-	-	-	-	0.009	focal	0.009	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.015	2.111	0.015	2.111
ITGA6	P23229	protein_coding	2	q31.1	-	-	-	-	0.019	largescale	0.019	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.031	2.135	0.031	2.135
ITGA7	Q13683	protein_coding	12	q13.2	-	-	-	-	0.009	focal	0.009	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.015	2.111	0.015	2.111
TRHR	P34981	protein_coding	8	q23.1	yes	-	-	-	-0.056	largescale	-0.056	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	THYROTROPIN-RELEASING	-0.093	1.960	-0.093	1.960
CA15P1	-	pseudogene	22	q11.21	-	-	-	-	-0.041	focal	-0.041	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-0.068	1.994	-0.068	1.994
