Gene	Uniprot	Biotype	Chr	Cytoband	Druggable	Cancer_Gene_Census	Oncogene	Tumor_suppressor	CNV_log2_ratios	CNV_type	CNV_max_abs_log2	SV	RNA_raw_count	RNA_TPM	RNA_z_score	Variant	Variant_Chr_Pos	Actionable	Variant_Impact	DNA_Tumor_VAF	DNA_Tumor_DP	DNA_Normal_VAF	DNA_Normal_DP	RNA_Tumor_VAF	RNA_Tumor_DP	Tier	Drugs	CNV_log2_adj	CNV_copies	CNV_log2_max_adj	CNV_max_copies
PSMA2P3	-	pseudogene	2	q33.1	-	-	-	-	0.009	largescale	0.009	-	0	0.000	-	-	-	-	-	-	-	-	-	-	-	-	-	0.009	1.973	0.009	1.973
PSMA2P1	-	pseudogene	11	q14.2	-	-	-	-	0.008	largescale	0.008	-	0	0.000	-	-	-	-	-	-	-	-	-	-	-	-	-	0.008	1.971	0.008	1.971
CPHL1P	-	pseudogene	3	q25.1	-	-	-	-	0.018	largescale	0.018	-	0	0.000	-	-	-	-	-	-	-	-	-	-	-	-	-	0.019	1.986	0.019	1.986
SSXP10	-	pseudogene	6	q22.31	-	-	-	-	0.015	largescale	0.015	-	0	0.000	-	-	-	-	-	-	-	-	-	-	-	-	-	0.016	1.982	0.016	1.982
TCOF1	-	protein_coding	5	q32	-	-	-	-	0.002	largescale	0.002	-	4215	12.740	1.319	-	-	-	-	-	-	-	-	-	-	-	-	0.002	1.963	0.002	1.963
NSRP1	-	protein_coding	17	q11.2	-	-	-	-	0.003	largescale	0.003	-	4473	31.726	0.529	-	-	-	-	-	-	-	-	-	-	-	-	0.003	1.964	0.003	1.964
SPPL3	-	protein_coding	12	q24.31	-	-	-	-	0.006	largescale	0.006	-	12670	64.732	1.590	-	-	-	-	-	-	-	-	-	-	-	-	0.006	1.969	0.006	1.969
OPA3	-	protein_coding	19	q13.32	-	-	-	-	0.010	largescale	0.01	-	1206	4.111	-0.588	-	-	-	-	-	-	-	-	-	-	-	-	0.011	1.974	0.011	1.974
OPA1	-	protein_coding	3	q29	-	-	-	-	0.018	largescale	0.018	-	14105	56.914	1.359	-	-	-	-	-	-	-	-	-	-	-	-	0.019	1.986	0.019	1.986
RNU6-1209P	-	snRNA	8	q22.1	-	-	-	-	0.049	largescale	0.049	-	0	0.000	-	-	-	-	-	-	-	-	-	-	-	-	-	0.052	2.031	0.052	2.031
RNU4ATAC18P	-	snRNA	6	q25.3	-	-	-	-	0.015	largescale	0.015	-	10	2.705	-	-	-	-	-	-	-	-	-	-	-	-	-	0.016	1.982	0.016	1.982
RNF219-AS1	-	antisense	13	q31.1,q22.3	-	-	-	-	0.004	largescale	0.004	-	496	1.923	0.375	-	-	-	-	-	-	-	-	-	-	-	-	0.004	1.966	0.004	1.966
ITGA8	P53708	protein_coding	10	p13	-	-	-	-	0.007	largescale	0.007	-	132	0.598	-0.761	-	-	-	-	-	-	-	-	-	-	-	-	0.007	1.970	0.007	1.970
ITGA9	Q13797	protein_coding	3	p22.2	-	-	-	-	0.018	largescale	0.018	-	13057	53.774	2.502	-	-	-	-	-	-	-	-	-	-	-	-	0.019	1.986	0.019	1.986
ITGA1	P56199	protein_coding	5	q11.2	-	-	-	-	0.002	largescale	0.002	-	4276	7.851	0.217	-	-	-	-	-	-	-	-	-	-	-	-	0.002	1.963	0.002	1.963
ITGA2	P17301	protein_coding	5	q11.2	-	-	-	-	0.002	largescale	0.002	-	2027	8.735	0.180	-	-	-	-	-	-	-	-	-	-	-	-	0.002	1.963	0.002	1.963
ITGA3	P26006	protein_coding	17	q21.33	-	-	-	-	0.003	largescale	0.003	-	252	0.876	-1.690	-	-	-	-	-	-	-	-	-	-	-	-	0.003	1.964	0.003	1.964
ITGA4	P13612	protein_coding	2	q31.3	-	-	-	-	0.009	largescale	0.009	-	2224	9.595	0.849	-	-	-	-	-	-	-	-	-	-	-	-	0.009	1.973	0.009	1.973
ITGA5	P08648	protein_coding	12	q13.13	-	-	-	-	0.006	largescale	0.006	-	2953	13.285	-0.050	-	-	-	-	-	-	-	-	-	-	-	-	0.006	1.969	0.006	1.969
ITGA6	P23229	protein_coding	2	q31.1	-	-	-	-	0.009	largescale	0.009	-	9300	47.288	0.685	-	-	-	-	-	-	-	-	-	-	-	-	0.009	1.973	0.009	1.973
ITGA7	Q13683	protein_coding	12	q13.2	-	-	-	-	0.006	largescale	0.006	-	1219	6.516	-1.610	-	-	-	-	-	-	-	-	-	-	-	-	0.006	1.969	0.006	1.969
TRHR	P34981	protein_coding	8	q23.1	yes	-	-	-	0.049	largescale	0.049	-	0	0.000	-	-	-	-	-	-	-	-	-	-	-	-	THYROTROPIN-RELEASING	0.052	2.031	0.052	2.031
CA15P1	-	pseudogene	22	q11.21	-	-	-	-	0.009	largescale	0.009	-	30	1.130	-	-	-	-	-	-	-	-	-	-	-	-	-	0.009	1.973	0.009	1.973
CA15P2	-	pseudogene	22	q11.21	-	-	-	-	0.009	largescale	0.009	-	0	0.000	-	-	-	-	-	-	-	-	-	-	-	-	-	0.009	1.973	0.009	1.973
UFSP1	-	protein_coding	7	q22.1	-	-	-	-	0.010	largescale	0.01	-	50	1.715	-1.987	-	-	-	-	-	-	-	-	-	-	-	-	0.011	1.974	0.011	1.974
UFSP2	-	protein_coding	4	q35.1	-	-	-	-	0.000	largescale	0.0	-	3347	41.025	-0.514	-	-	-	-	-	-	-	-	-	-	-	-	0.000	1.960	0.000	1.960
MT-CYB	-	-	-	-	-	-	-	-	-	-	-	-	272630	8144.920	-0.235	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
