Gene	Uniprot	Biotype	Chr	Cytoband	Druggable	Cancer_Gene_Census	Oncogene	Tumor_suppressor	CNV_log2_ratios	CNV_type	CNV_max_abs_log2	SV	RNA_raw_count	RNA_TPM	RNA_z_score	Variant	Variant_Chr_Pos	Actionable	Variant_Impact	DNA_Tumor_VAF	DNA_Tumor_DP	DNA_Normal_VAF	DNA_Normal_DP	RNA_Tumor_VAF	RNA_Tumor_DP	Tier	Drugs	CNV_log2_adj	CNV_copies	CNV_log2_max_adj	CNV_max_copies
PSMA2P3	-	pseudogene	2	q33.1	-	-	-	-	0.160	largescale	0.16	-	0	0.000	-	-	-	-	-	-	-	-	-	-	-	-	-	0.379	3.447	0.379	3.447
PSMA2P1	-	pseudogene	11	q14.2	-	-	-	-	-0.317	largescale	-0.317	-	0	0.000	-	-	-	-	-	-	-	-	-	-	-	-	-	-1.017	1.310	-1.017	1.310
CPHL1P	-	pseudogene	3	q25.1	-	-	-	-	-0.100	largescale	-0.1	-	0	0.000	-	-	-	-	-	-	-	-	-	-	-	-	-	-0.272	2.195	-0.272	2.195
SSXP10	-	pseudogene	6	q22.31	-	-	-	-	-0.183	largescale	-0.183	-	0	0.000	-	-	-	-	-	-	-	-	-	-	-	-	-	-0.526	1.841	-0.526	1.841
TCOF1	-	protein_coding	5	q32	-	-	-	-	0.521	largescale	0.521	-	9250	47.856	0.612	-	-	-	-	-	-	-	-	-	-	-	-	1.081	5.605	1.081	5.605
NSRP1	-	protein_coding	17	q11.2	-	-	-	-	-0.253	largescale	-0.253	-	12843	155.923	-0.321	-	-	-	-	-	-	-	-	-	-	-	-	-0.767	1.557	-0.767	1.557
SPPL3	-	protein_coding	12	q24.31	-	-	-	-	-0.113	largescale	-0.113	-	1398	12.226	-0.000	-	-	-	-	-	-	-	-	-	-	-	-	-0.310	2.138	-0.310	2.138
OPA3	-	protein_coding	19	q13.32	-	-	-	-	0.091	focal	0.091	-	457	2.667	-0.097	-	-	-	-	-	-	-	-	-	-	-	-	0.223	3.092	0.223	3.092
OPA1	-	protein_coding	3	q29	-	-	-	-	-0.100	largescale	-0.1	-	19633	135.600	0.132	-	-	-	-	-	-	-	-	-	-	-	-	-0.272	2.195	-0.272	2.195
RNU6-1209P	-	snRNA	8	q22.1	-	-	-	-	-0.165	largescale	-0.165	-	0	0.000	-	-	-	-	-	-	-	-	-	-	-	-	-	-0.468	1.916	-0.468	1.916
RNU4ATAC18P	-	snRNA	6	q25.3	-	-	-	-	-0.183	largescale	-0.183	-	0	0.000	-	-	-	-	-	-	-	-	-	-	-	-	-	-0.526	1.841	-0.526	1.841
RNF219-AS1	-	antisense	13	q31.1,q22.3	-	-	-	-	0.039	largescale	0.039	-	13	0.086	-1.963	-	-	-	-	-	-	-	-	-	-	-	-	0.098	2.836	0.098	2.836
ITGA8	P53708	protein_coding	10	p13	-	-	-	-	-0.264	focal	-0.264	-	2103	16.300	1.703	-	-	-	-	-	-	-	-	-	-	-	-	-0.808	1.514	-0.808	1.514
ITGA9	Q13797	protein_coding	3	p22.2	-	-	-	-	-0.104	largescale	-0.104	-	3939	27.768	0.827	-	-	-	-	-	-	-	-	-	-	-	-	-0.283	2.177	-0.283	2.177
ITGA1	P56199	protein_coding	5	q11.2	-	-	-	-	0.535	largescale	0.535	-	22469	70.614	0.682	-	-	-	-	-	-	-	-	-	-	-	-	1.105	5.701	1.105	5.701
ITGA2	P17301	protein_coding	5	q11.2	-	-	-	-	0.535	largescale	0.535	-	31154	229.808	1.830	-	-	-	-	-	-	-	-	-	-	-	-	1.105	5.701	1.105	5.701
ITGA3	P26006	protein_coding	17	q21.33	-	-	-	-	-0.253	largescale	-0.253	-	25140	149.651	1.130	-	-	-	-	-	-	-	-	-	-	-	-	-0.767	1.557	-0.767	1.557
ITGA4	P13612	protein_coding	2	q31.3	-	-	-	-	0.160	largescale	0.16	-	13530	99.918	1.303	-	-	-	-	-	-	-	-	-	-	-	-	0.379	3.447	0.379	3.447
ITGA5	P08648	protein_coding	12	q13.13	-	-	-	-	-0.113	largescale	-0.113	-	5049	38.881	1.254	-	-	-	-	-	-	-	-	-	-	-	-	-0.310	2.138	-0.310	2.138
ITGA6	P23229	protein_coding	2	q31.1	-	-	-	-	0.160	largescale	0.16	-	25174	219.102	1.093	-	-	-	-	-	-	-	-	-	-	-	-	0.379	3.447	0.379	3.447
ITGA7	Q13683	protein_coding	12	q13.2	-	-	-	-	-0.113	largescale	-0.113	-	14185	129.790	0.881	-	-	-	-	-	-	-	-	-	-	-	-	-0.310	2.138	-0.310	2.138
TRHR	P34981	protein_coding	8	q23.1	yes	-	-	-	-0.165	largescale	-0.165	-	0	0.000	-	-	-	-	-	-	-	-	-	-	-	-	THYROTROPIN-RELEASING	-0.468	1.916	-0.468	1.916
CA15P1	-	pseudogene	22	q11.21	-	-	-	-	-0.258	largescale	-0.258	-	4	0.258	-	-	-	-	-	-	-	-	-	-	-	-	-	-0.786	1.537	-0.786	1.537
CA15P2	-	pseudogene	22	q11.21	-	-	-	-	-0.258	largescale	-0.258	-	0	0.000	-	-	-	-	-	-	-	-	-	-	-	-	-	-0.786	1.537	-0.786	1.537
UFSP1	-	protein_coding	7	q22.1	-	-	-	-	0.583	largescale	0.583	-	72	4.226	0.204	-	-	-	-	-	-	-	-	-	-	-	-	1.187	6.034	1.187	6.034
UFSP2	-	protein_coding	4	q35.1	-	-	-	-	-0.060	largescale	-0.06	-	2155	45.214	0.810	-	-	-	-	-	-	-	-	-	-	-	-	-0.159	2.373	-0.159	2.373
MT-CYB	-	-	-	-	-	-	-	-	-	-	-	-	7197	368.039	0.246	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
TEX28P2	-	protein_coding	X	q28	-	-	-	-	-0.424	largescale	-0.424	-	0	0.000	-	-	-	-	-	-	-	-	-	-	-	-	-	-1.527	0.920	-1.527	0.920
TEX28P1	-	protein_coding	X	q28	-	-	-	-	-0.424	largescale	-0.424	-	0	0.000	-	-	-	-	-	-	-	-	-	-	-	-	-	-1.527	0.920	-1.527	0.920
FAM212B	-	protein_coding	1	p13.2	-	-	-	-	-0.167	largescale	-0.167	-	460	2.918	-1.259	-	-	-	-	-	-	-	-	-	-	-	-	-0.474	1.907	-0.474	1.907
FAM212A	-	protein_coding	3	p21.31	-	-	-	-	-0.104	largescale	-0.104	-	228	12.792	-0.558	-	-	-	-	-	-	-	-	-	-	-	-	-0.283	2.177	-0.283	2.177
CHST9	-	protein_coding	18	q11.2	-	-	-	-	-0.192	largescale	-0.192	-	28	0.689	-2.148	-	-	-	-	-	-	-	-	-	-	-	-	-0.555	1.803	-0.555	1.803
CHST8	-	protein_coding	19	q13.11	-	-	-	-	0.109	largescale	0.109	-	82	1.568	-0.879	-	-	-	-	-	-	-	-	-	-	-	-	0.265	3.183	0.265	3.183
CHST1	-	protein_coding	11	p11.2	-	-	-	-	-0.296	largescale	-0.296	-	594	9.965	-0.623	-	-	-	-	-	-	-	-	-	-	-	-	-0.931	1.390	-0.931	1.390
TTTY25P	-	pseudogene	Y	q11.223	-	-	-	-	-0.390	largescale	-0.39	-	0	0.000	-	-	-	-	-	-	-	-	-	-	-	-	-	NA	NA	NA	NA
CHST3	-	protein_coding	10	q22.1	-	-	-	-	-0.260	largescale	-0.26	-	2199	18.409	0.384	-	-	-	-	-	-	-	-	-	-	-	-	-0.793	1.529	-0.793	1.529
CHST2	-	protein_coding	3	q24	-	-	-	-	-0.100	largescale	-0.1	-	11232	185.867	1.561	-	-	-	-	-	-	-	-	-	-	-	-	-0.272	2.195	-0.272	2.195
CHST5	-	protein_coding	16	q23.1	-	-	-	-	0.067	largescale	0.067	-	13	0.228	-	-	-	-	-	-	-	-	-	-	-	-	-	0.166	2.973	0.166	2.973
CHST4	-	protein_coding	16	q22.2	-	-	-	-	0.067	largescale	0.067	-	18	0.405	-	-	-	-	-	-	-	-	-	-	-	-	-	0.166	2.973	0.166	2.973
CHST7	-	protein_coding	X	p11.23	-	-	-	-	-0.424	largescale	-0.424	-	607	15.473	0.075	-	-	-	-	-	-	-	-	-	-	-	-	-1.527	0.920	-1.527	0.920
CHST6	-	protein_coding	16	q23.1	-	-	-	-	0.067	largescale	0.067	-	190	3.195	-0.972	-	-	-	-	-	-	-	-	-	-	-	-	0.166	2.973	0.166	2.973
ITGAX	P20702	protein_coding	16	p11.2	-	-	-	-	0.046	largescale	0.046	-	7401	66.101	-0.576	-	-	-	-	-	-	-	-	-	-	-	-	0.115	2.870	0.115	2.870
RPS4XP3	-	pseudogene	20	q13.31	-	-	-	-	-0.159	largescale	-0.159	-	4	0.565	-	-	-	-	-	-	-	-	-	-	-	-	-	-0.449	1.941	-0.449	1.941
