Gene	Uniprot	Biotype	Chr	Cytoband	Druggable	Cancer_Gene_Census	Oncogene	Tumor_suppressor	CNV_log2_ratios	CNV_type	CNV_max_abs_log2	SV	RNA_raw_count	RNA_TPM	RNA_z_score	Variant	Variant_Chr_Pos	Actionable	Variant_Impact	DNA_Tumor_VAF	DNA_Tumor_DP	DNA_Normal_VAF	DNA_Normal_DP	RNA_Tumor_VAF	RNA_Tumor_DP	Tier	Drugs	CNV_log2_adj	CNV_copies	CNV_log2_max_adj	CNV_max_copies
PSMA2P3	-	pseudogene	2	q33.1	-	-	-	-	0.050	focal	0.05	-	2	0.243	-	-	-	-	-	-	-	-	-	-	-	-	-	0.066	1.885	0.066	1.885
PSMA2P1	-	pseudogene	11	q14.2	-	-	-	-	0.035	focal	0.035	-	0	0.000	-	-	-	-	-	-	-	-	-	-	-	-	-	0.046	1.859	0.046	1.859
CPHL1P	-	pseudogene	3	q25.1	-	-	-	-	0.096	focal	0.096	-	0	0.000	-	-	-	-	-	-	-	-	-	-	-	-	-	0.127	1.965	0.127	1.965
SSXP10	-	pseudogene	6	q22.31	-	-	-	-	0.059	focal	0.059	-	12	1.742	-	-	-	-	-	-	-	-	-	-	-	-	-	0.078	1.900	0.078	1.900
TCOF1	-	protein_coding	5	q32	-	-	-	-	0.063	focal	0.063	-	9387	68.269	1.124	-	-	-	-	-	-	-	-	-	-	-	-	0.083	1.907	0.083	1.907
NSRP1	-	protein_coding	17	q11.2	-	-	-	-	0.050	focal	0.05	-	25566	436.320	2.040	-	-	-	-	-	-	-	-	-	-	-	-	0.066	1.885	0.066	1.885
SPPL3	-	protein_coding	12	q24.31	-	-	-	-	0.053	focal	0.053	-	772	9.490	-0.407	-	-	-	-	-	-	-	-	-	-	-	-	0.070	1.890	0.070	1.890
OPA3	-	protein_coding	19	q13.32	-	-	-	-	0.008,0.117,1.146	focal,focal,focal	1.146	-	234	1.919	-1.352	-	-	-	-	-	-	-	-	-	-	-	-	0.011,0.154,1.388	1.813,2.003,4.711	1.388	4.711
OPA1	-	protein_coding	3	q29	-	-	-	-	0.061,1.341	focal,focal	1.341	-	15052	146.139	0.865	-	-	-	-	-	-	-	-	-	-	-	-	0.081,1.606	1.904,5.480	1.606	5.480
RNU6-1209P	-	snRNA	8	q22.1	-	-	-	-	0.069	focal	0.069	-	0	0.000	-	-	-	-	-	-	-	-	-	-	-	-	-	0.091	1.918	0.091	1.918
RNU4ATAC18P	-	snRNA	6	q25.3	-	-	-	-	0.221	focal	0.221	-	7	4.557	-	-	-	-	-	-	-	-	-	-	-	-	-	0.288	2.197	0.288	2.197
RNF219-AS1	-	antisense	13	q31.1,q22.3	-	-	-	-	0.029,0.168	focal,focal	0.168	13:76532080-13:79087569	259	2.417	0.503	-	-	-	-	-	-	-	-	-	-	-	-	0.039,0.220	1.849,2.096	0.220	2.096
