Gene	Uniprot	Biotype	Chr	Cytoband	Druggable	Cancer_Gene_Census	Oncogene	Tumor_suppressor	CNV_log2_ratios	CNV_type	CNV_max_abs_log2	SV	RNA_raw_count	RNA_TPM	RNA_z_score	Variant	Variant_Chr_Pos	Actionable	Variant_Impact	DNA_Tumor_VAF	DNA_Tumor_DP	DNA_Normal_VAF	DNA_Normal_DP	RNA_Tumor_VAF	RNA_Tumor_DP	Tier	Drugs	CNV_log2_adj	CNV_copies	CNV_log2_max_adj	CNV_max_copies
PSMA2P3	-	pseudogene	2	q33.1	-	-	-	-	0.072	largescale	0.072	-	3	0.128	-	-	-	-	-	-	-	-	-	-	-	-	-	0.094	1.953	0.094	1.953
PSMA2P1	-	pseudogene	11	q14.2	-	-	-	-	0.073	largescale	0.073	-	0	0.000	-	-	-	-	-	-	-	-	-	-	-	-	-	0.095	1.955	0.095	1.955
CPHL1P	-	pseudogene	3	q25.1	-	-	-	-	0.075	largescale	0.075	-	3	0.022	-	-	-	-	-	-	-	-	-	-	-	-	-	0.098	1.958	0.098	1.958
SSXP10	-	pseudogene	6	q22.31	-	-	-	-	0.079	largescale	0.079	-	3	0.153	-	-	-	-	-	-	-	-	-	-	-	-	-	0.103	1.966	0.103	1.966
TCOF1	-	protein_coding	5	q32	-	-	-	-	0.075	largescale	0.075	-	3249	8.298	0.020	-	-	-	-	-	-	-	-	-	-	-	-	0.098	1.958	0.098	1.958
NSRP1	-	protein_coding	17	q11.2	-	-	-	-	0.086	largescale	0.086	-	6980	41.836	1.263	-	-	-	-	-	-	-	-	-	-	-	-	0.112	1.978	0.112	1.978
SPPL3	-	protein_coding	12	q24.31	-	-	-	-	0.077	largescale	0.077	-	6407	27.661	-1.566	-	-	-	-	-	-	-	-	-	-	-	-	0.100	1.962	0.100	1.962
OPA3	-	protein_coding	19	q13.32	-	-	-	-	0.071	largescale	0.071	-	1930	5.560	0.046	-	-	-	-	-	-	-	-	-	-	-	-	0.093	1.951	0.093	1.951
OPA1	-	protein_coding	3	q29	-	-	-	-	0.075	largescale	0.075	-	12881	43.921	0.530	-	-	-	-	-	-	-	-	-	-	-	-	0.098	1.958	0.098	1.958
RNU6-1209P	-	snRNA	8	q22.1	-	-	-	-	0.052	largescale	0.052	-	0	0.000	-	-	-	-	-	-	-	-	-	-	-	-	-	0.068	1.918	0.068	1.918
RNU4ATAC18P	-	snRNA	6	q25.3	-	-	-	-	-0.638	focal	-0.638	-	24	5.487	-	-	-	-	-	-	-	-	-	-	-	-	-	-0.917	0.969	-0.917	0.969
RNF219-AS1	-	antisense	13	q31.1,q22.3	-	-	-	-	-0.644	focal	-0.644	-	663	2.173	0.449	-	-	-	-	-	-	-	-	-	-	-	-	-0.926	0.963	-0.926	0.963
ITGA8	P53708	protein_coding	10	p13	-	-	-	-	-0.645	largescale	-0.645	-	151	0.578	-0.817	-	-	-	-	-	-	-	-	-	-	-	-	-0.928	0.962	-0.928	0.962
ITGA9	Q13797	protein_coding	3	p22.2	-	-	-	-	0.075	largescale	0.075	-	984	3.425	0.014	-	-	-	-	-	-	-	-	-	-	-	-	0.098	1.958	0.098	1.958
ITGA1	P56199	protein_coding	5	q11.2	-	-	-	-	0.075	largescale	0.075	-	2826	4.385	-0.640	-	-	-	-	-	-	-	-	-	-	-	-	0.098	1.958	0.098	1.958
ITGA2	P17301	protein_coding	5	q11.2	-	-	-	-	0.075	largescale	0.075	-	387	1.409	-1.774	-	-	-	-	-	-	-	-	-	-	-	-	0.098	1.958	0.098	1.958
ITGA3	P26006	protein_coding	17	q21.33	-	-	-	-	0.086	largescale	0.086	-	3261	9.583	0.207	-	-	-	-	-	-	-	-	-	-	-	-	0.112	1.978	0.112	1.978
ITGA4	P13612	protein_coding	2	q31.3	-	-	-	-	0.072	largescale	0.072	-	578	2.107	-0.820	-	-	-	-	-	-	-	-	-	-	-	-	0.094	1.953	0.094	1.953
ITGA5	P08648	protein_coding	12	q13.13	-	-	-	-	0.077	largescale	0.077	-	3523	13.393	-0.126	-	-	-	-	-	-	-	-	-	-	-	-	0.100	1.962	0.100	1.962
ITGA6	P23229	protein_coding	2	q31.1	-	-	-	-	0.072	largescale	0.072	-	10849	46.616	0.624	-	-	-	-	-	-	-	-	-	-	-	-	0.094	1.953	0.094	1.953
ITGA7	Q13683	protein_coding	12	q13.2	-	-	-	-	0.077	largescale	0.077	-	10365	46.820	0.260	-	-	-	-	-	-	-	-	-	-	-	-	0.100	1.962	0.100	1.962
TRHR	P34981	protein_coding	8	q23.1	yes	-	-	-	0.052	largescale	0.052	-	0	0.000	-	-	-	-	-	-	-	-	-	-	-	-	THYROTROPIN-RELEASING	0.068	1.918	0.068	1.918
CA15P1	-	pseudogene	22	q11.21	-	-	-	-	-0.635	focal	-0.635	-	5	0.159	-	-	-	-	-	-	-	-	-	-	-	-	-	-0.912	0.973	-0.912	0.973
CA15P2	-	pseudogene	22	q11.21	-	-	-	-	-0.635	focal	-0.635	-	0	0.000	-	-	-	-	-	-	-	-	-	-	-	-	-	-0.912	0.973	-0.912	0.973
UFSP1	-	protein_coding	7	q22.1	-	-	-	-	0.074	largescale	0.074	-	171	4.955	-0.359	-	-	-	-	-	-	-	-	-	-	-	-	0.097	1.957	0.097	1.957
UFSP2	-	protein_coding	4	q35.1	-	-	-	-	0.055	focal	0.055	-	5320	55.104	0.296	-	-	-	-	-	-	-	-	-	-	-	-	0.072	1.924	0.072	1.924
MT-CYB	-	-	-	-	-	-	-	-	-	-	-	-	332082	8383.689	-0.226	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
TEX28P2	-	protein_coding	X	q28	-	-	-	-	0.081	largescale	0.081	-	0	0.000	-	-	-	-	-	-	-	-	-	-	-	-	-	0.106	0.985	0.106	0.985
TEX28P1	-	protein_coding	X	q28	-	-	-	-	0.081	largescale	0.081	-	0	0.000	-	-	-	-	-	-	-	-	-	-	-	-	-	0.106	0.985	0.106	0.985
FAM212B	-	protein_coding	1	p13.2	-	-	-	-	0.083	largescale	0.083	-	6561	20.545	-0.322	-	-	-	-	-	-	-	-	-	-	-	-	0.108	1.973	0.108	1.973
FAM212A	-	protein_coding	3	p21.31	-	-	-	-	0.075	largescale	0.075	-	364	10.082	0.636	-	-	-	-	-	-	-	-	-	-	-	-	0.098	1.958	0.098	1.958
CHST9	-	protein_coding	18	q11.2	-	-	-	-	0.056	largescale	0.056	-	3379	41.052	0.367	-	-	-	-	-	-	-	-	-	-	-	-	0.073	1.925	0.073	1.925
CHST8	-	protein_coding	19	q13.11	-	-	-	-	0.071	largescale	0.071	-	1618	15.276	0.971	-	-	-	-	-	-	-	-	-	-	-	-	0.093	1.951	0.093	1.951
CHST1	-	protein_coding	11	p11.2	-	-	-	-	0.072	largescale	0.072	-	393	3.255	-1.134	-	-	-	-	-	-	-	-	-	-	-	-	0.094	1.953	0.094	1.953
TTTY25P	-	pseudogene	Y	q11.223	-	-	-	-	0.041	largescale	0.041	-	0	0.000	-	-	-	-	-	-	-	-	-	-	-	-	-	0.054	0.950	0.054	0.950
CHST3	-	protein_coding	10	q22.1	-	-	-	-	-0.638	largescale	-0.638	-	4142	17.118	-0.060	-	-	-	-	-	-	-	-	-	-	-	-	-0.917	0.969	-0.917	0.969
CHST2	-	protein_coding	3	q24	-	-	-	-	0.075	largescale	0.075	-	3686	30.113	0.132	-	-	-	-	-	-	-	-	-	-	-	-	0.098	1.958	0.098	1.958
CHST5	-	protein_coding	16	q23.1	-	-	-	-	0.074	largescale	0.074	-	47	0.408	-	-	-	-	-	-	-	-	-	-	-	-	-	0.097	1.957	0.097	1.957
CHST4	-	protein_coding	16	q22.2	-	-	-	-	0.074	largescale	0.074	-	10	0.111	-	-	-	-	-	-	-	-	-	-	-	-	-	0.097	1.957	0.097	1.957
CHST7	-	protein_coding	X	p11.23	-	-	-	-	0.081	largescale	0.081	-	1620	20.387	0.582	-	-	-	-	-	-	-	-	-	-	-	-	0.106	0.985	0.106	0.985
CHST6	-	protein_coding	16	q23.1	-	-	-	-	0.074	largescale	0.074	-	1586	13.166	1.006	-	-	-	-	-	-	-	-	-	-	-	-	0.097	1.957	0.097	1.957
ITGAX	P20702	protein_coding	16	p11.2	-	-	-	-	0.074	largescale	0.074	-	7423	32.730	1.563	-	-	-	-	-	-	-	-	-	-	-	-	0.097	1.957	0.097	1.957
RPS4XP3	-	pseudogene	20	q13.31	-	-	-	-	0.074	focal	0.074	-	0	0.000	-	-	-	-	-	-	-	-	-	-	-	-	-	0.097	1.957	0.097	1.957
RNA5SP356	-	rRNA	12	p11.22	-	-	-	-	0.077	largescale	0.077	-	0	0.000	-	-	-	-	-	-	-	-	-	-	-	-	-	0.100	1.962	0.100	1.962
RPS4XP6	-	pseudogene	5	p13.2	-	-	-	-	0.075	largescale	0.075	-	4	0.145	-	-	-	-	-	-	-	-	-	-	-	-	-	0.098	1.958	0.098	1.958
RPS4XP7	-	pseudogene	6	p23	-	-	-	-	0.071	largescale	0.071	-	0	0.000	-	-	-	-	-	-	-	-	-	-	-	-	-	0.093	1.951	0.093	1.951
RPS4XP4	-	pseudogene	1	p36.12	-	-	-	-	0.080	largescale	0.08	-	4	0.151	-	-	-	-	-	-	-	-	-	-	-	-	-	0.104	1.967	0.104	1.967
BCL2A1	Q16548	protein_coding	15	q25.1	-	-	-	-	0.078	largescale	0.078	-	3028	80.095	0.803	-	-	-	-	-	-	-	-	-	-	-	-	0.102	1.964	0.102	1.964
RPS4XP8	-	pseudogene	6	q25.2	-	-	-	-	-0.638	focal	-0.638	-	0	0.000	-	-	-	-	-	-	-	-	-	-	-	-	-	-0.917	0.969	-0.917	0.969
RPS4XP9	-	pseudogene	6	q22.32	-	-	-	-	0.079	largescale	0.079	-	0	0.000	-	-	-	-	-	-	-	-	-	-	-	-	-	0.103	1.966	0.103	1.966
RNU4-76P	-	snRNA	6	q22.31	-	-	-	-	0.079	largescale	0.079	-	0	0.000	-	-	-	-	-	-	-	-	-	-	-	-	-	0.103	1.966	0.103	1.966
ITGAV	P06756	protein_coding	2	q32.1	yes	-	-	-	0.072	largescale	0.072	-	87688	307.624	1.234	-	-	-	-	-	-	-	-	-	-	-	CILENGITIDE	0.094	1.953	0.094	1.953
ITGAL	P20701	protein_coding	16	p11.2	-	-	-	-	0.074	largescale	0.074	-	1876	8.350	1.655	-	-	-	-	-	-	-	-	-	-	-	-	0.097	1.957	0.097	1.957
ITGAM	P11215	protein_coding	16	p11.2	-	-	-	-	0.074	largescale	0.074	-	4480	22.780	1.350	-	-	-	-	-	-	-	-	-	-	-	-	0.097	1.957	0.097	1.957
ITGAD	Q13349	protein_coding	16	p11.2	-	-	-	-	0.074	largescale	0.074	-	5	0.033	-	-	-	-	-	-	-	-	-	-	-	-	-	0.097	1.957	0.097	1.957
ITGAE	P38570	protein_coding	17	p13.2	-	-	-	-	0.086	largescale	0.086	-	4425	19.147	-0.290	-	-	-	-	-	-	-	-	-	-	-	-	0.112	1.978	0.112	1.978
ATP1B3-AS1	-	antisense	3	q23	-	-	-	-	0.075	largescale	0.075	-	0	0.000	-	-	-	-	-	-	-	-	-	-	-	-	-	0.098	1.958	0.098	1.958
IGF2R	P11717	protein_coding	6	q25.3	-	-	-	-	-0.638	focal	-0.638	-	2719	7.865	-0.900	-	-	-	-	-	-	-	-	-	-	-	-	-0.917	0.969	-0.917	0.969
SLC36A4	-	protein_coding	11	q21	-	-	-	-	0.073	largescale	0.073	-	5979	17.790	-0.070	-	-	-	-	-	-	-	-	-	-	-	-	0.095	1.955	0.095	1.955
SLC36A3	-	protein_coding	5	q33.1	-	-	-	-	0.075	largescale	0.075	-	0	0.000	-	-	-	-	-	-	-	-	-	-	-	-	-	0.098	1.958	0.098	1.958
CKS1B	P61024	protein_coding	5	q12.1,q21.3	-	-	-	-	0.075,0.081	largescale,largescale	0.081	-	6	0.720	-0.768	-	-	-	-	-	-	-	-	-	-	-	-	0.098,0.106	1.958,1.969	0.106	1.969
SLC36A1	Q7Z2H8	protein_coding	5	q33.1	-	-	-	-	0.075	largescale	0.075	-	2838	11.596	1.012	-	-	-	-	-	-	-	-	-	-	-	-	0.098	1.958	0.098	1.958
ARTN	-	protein_coding	1	p34.1	-	-	-	-	0.080	largescale	0.08	-	243	2.633	0.525	-	-	-	-	-	-	-	-	-	-	-	-	0.104	1.967	0.104	1.967
ART1	P52961	protein_coding	11	p15.4	-	-	-	-	0.072	largescale	0.072	-	0	0.000	-	-	-	-	-	-	-	-	-	-	-	-	-	0.094	1.953	0.094	1.953
ART3	-	protein_coding	4	q21.1	-	-	-	-	0.061	largescale	0.061	-	749	6.582	1.061	-	-	-	-	-	-	-	-	-	-	-	-	0.080	1.934	0.080	1.934
ART5	-	protein_coding	11	p15.4	-	-	-	-	0.072	largescale	0.072	-	8	0.136	-	-	-	-	-	-	-	-	-	-	-	-	-	0.094	1.953	0.094	1.953
ART4	-	protein_coding	12	p12.3	-	-	-	-	0.077	largescale	0.077	-	2	0.011	-	-	-	-	-	-	-	-	-	-	-	-	-	0.100	1.962	0.100	1.962
CRTAM	-	protein_coding	11	q24.1	-	-	-	-	0.073	largescale	0.073	-	60	0.646	-	-	-	-	-	-	-	-	-	-	-	-	-	0.095	1.955	0.095	1.955
DPYD-IT1	-	sense_intronic	1	p21.3	-	-	-	-	-0.649	focal	-0.649	-	0	0.000	-	-	-	-	-	-	-	-	-	-	-	-	-	-0.934	0.958	-0.934	0.958
CADPS2	-	protein_coding	7	q31.32	-	-	-	-	0.074	largescale	0.074	-	889	4.024	-0.639	-	-	-	-	-	-	-	-	-	-	-	-	0.097	1.957	0.097	1.957
RLF	-	protein_coding	1	p34.2	-	-	-	-	0.080	largescale	0.08	-	6087	28.072	-0.188	-	-	-	-	-	-	-	-	-	-	-	-	0.104	1.967	0.104	1.967
RNU6-590P	-	snRNA	12	p13.1	-	-	-	-	0.077	largescale	0.077	-	0	0.000	-	-	-	-	-	-	-	-	-	-	-	-	-	0.100	1.962	0.100	1.962
CRTAP	-	protein_coding	3	p22.3	-	-	-	-	0.075	largescale	0.075	-	41386	178.065	1.328	-	-	-	-	-	-	-	-	-	-	-	-	0.098	1.958	0.098	1.958
ADPGK	-	protein_coding	15	q24.1	-	-	-	-	0.078	largescale	0.078	-	8770	42.594	0.448	-	-	-	-	-	-	-	-	-	-	-	-	0.102	1.964	0.102	1.964
HPYR1	-	lincRNA	8	q24.22	-	-	-	-	0.052	largescale	0.052	-	7	0.205	-	-	-	-	-	-	-	-	-	-	-	-	-	0.068	1.918	0.068	1.918
CPEB4	-	protein_coding	5	q35.2	-	-	-	-	0.075	largescale	0.075	-	18615	52.202	0.813	-	-	-	-	-	-	-	-	-	-	-	-	0.098	1.958	0.098	1.958
CPEB1	-	protein_coding	15	q25.2	-	-	-	-	0.078	largescale	0.078	-	197	0.691	-0.316	-	-	-	-	-	-	-	-	-	-	-	-	0.102	1.964	0.102	1.964
CPEB3	-	protein_coding	10	q23.32	-	-	-	-	-0.635	focal	-0.635	-	855	3.120	0.126	-	-	-	-	-	-	-	-	-	-	-	-	-0.912	0.973	-0.912	0.973
CPEB2	-	protein_coding	4	p15.33	-	-	-	-	0.064	largescale	0.064	-	8392	33.682	1.361	-	-	-	-	-	-	-	-	-	-	-	-	0.084	1.939	0.084	1.939
SRBD1	-	protein_coding	2	p21	-	-	-	-	0.075	largescale	0.075	-	3244	18.522	0.678	-	-	-	-	-	-	-	-	-	-	-	-	0.098	1.958	0.098	1.958
