Gene	Uniprot	Biotype	Chr	Cytoband	Druggable	Cancer_Gene_Census	Oncogene	Tumor_suppressor	CNV_log2_ratios	CNV_type	CNV_max_abs_log2	SV	RNA_raw_count	RNA_TPM	RNA_z_score	Variant	Variant_Chr_Pos	Actionable	Variant_Impact	DNA_Tumor_VAF	DNA_Tumor_DP	DNA_Normal_VAF	DNA_Normal_DP	RNA_Tumor_VAF	RNA_Tumor_DP	Tier	Drugs	CNV_log2_adj	CNV_copies	CNV_log2_max_adj	CNV_max_copies
PSMA2P3	-	pseudogene	2	q33.1	-	-	-	-	-0.005	largescale	-0.005	-	0	0.000	-	-	-	-	-	-	-	-	-	-	-	-	-	-0.028	1.962	-0.028	1.962
PSMA2P1	-	pseudogene	11	q14.2	-	-	-	-	-0.127	largescale	-0.127	-	0	0.000	-	-	-	-	-	-	-	-	-	-	-	-	-	-0.911	1.064	-0.911	1.064
CPHL1P	-	pseudogene	3	q25.1	-	-	-	-	-0.006	largescale	-0.006	-	6	0.028	-	-	-	-	-	-	-	-	-	-	-	-	-	-0.034	1.954	-0.034	1.954
SSXP10	-	pseudogene	6	q22.31	-	-	-	-	-0.001	largescale	-0.001	-	0	0.000	-	-	-	-	-	-	-	-	-	-	-	-	-	-0.006	1.992	-0.006	1.992
TCOF1	-	protein_coding	5	q32	-	-	-	-	-0.005	largescale	-0.005	-	9219	14.847	2.370	-	-	-	-	-	-	-	-	-	-	-	-	-0.028	1.962	-0.028	1.962
NSRP1	-	protein_coding	17	q11.2	-	-	-	-	-0.007	largescale	-0.007	-	4390	16.591	-0.044	-	-	-	-	-	-	-	-	-	-	-	-	-0.039	1.946	-0.039	1.946
SPPL3	-	protein_coding	12	q24.31	-	-	-	-	0.002	largescale	0.002	-	7523	20.480	1.079	-	-	-	-	-	-	-	-	-	-	-	-	0.011	2.015	0.011	2.015
OPA3	-	protein_coding	19	q13.32	-	-	-	-	0.053	focal	0.053	-	1175	2.134	-0.711	-	-	-	-	-	-	-	-	-	-	-	-	0.272	2.416	0.272	2.416
OPA1	-	protein_coding	3	q29	-	-	-	-	-0.131	focal	-0.131	-	5000	10.750	-0.440	-	-	-	-	-	-	-	-	-	-	-	-	-0.950	1.036	-0.950	1.036
RNU6-1209P	-	snRNA	8	q22.1	-	-	-	-	0.003	largescale	0.003	-	0	0.000	-	-	-	-	-	-	-	-	-	-	-	-	-	0.017	2.023	0.017	2.023
RNU4ATAC18P	-	snRNA	6	q25.3	-	-	-	-	-0.001	largescale	-0.001	-	5	0.721	-	-	-	-	-	-	-	-	-	-	-	-	-	-0.006	1.992	-0.006	1.992
RNF219-AS1	-	antisense	13	q31.1,q22.3	-	-	-	-	-0.125	largescale	-0.125	-	472	0.975	0.347	-	-	-	-	-	-	-	-	-	-	-	-	-0.892	1.078	-0.892	1.078
ITGA8	P53708	protein_coding	10	p13	-	-	-	-	-0.117	largescale	-0.117	-	79	0.191	-0.315	-	-	-	-	-	-	-	-	-	-	-	-	-0.818	1.134	-0.818	1.134
ITGA9	Q13797	protein_coding	3	p22.2	-	-	-	-	-0.003	largescale	-0.003	-	440	0.966	0.581	-	-	-	-	-	-	-	-	-	-	-	-	-0.017	1.977	-0.017	1.977
ITGA1	P56199	protein_coding	5	q11.2	-	-	-	-	-0.005	largescale	-0.005	-	1860	1.820	0.230	-	-	-	-	-	-	-	-	-	-	-	-	-0.028	1.962	-0.028	1.962
ITGA2	P17301	protein_coding	5	q11.2	-	-	-	-	-0.005	largescale	-0.005	-	2080	4.776	1.052	-	-	-	-	-	-	-	-	-	-	-	-	-0.028	1.962	-0.028	1.962
ITGA3	P26006	protein_coding	17	q21.33	-	-	-	-	-0.007	largescale	-0.007	-	2428	4.499	-0.157	-	-	-	-	-	-	-	-	-	-	-	-	-0.039	1.946	-0.039	1.946
ITGA4	P13612	protein_coding	2	q31.3	-	-	-	-	-0.005	largescale	-0.005	-	173	0.398	-0.909	-	-	-	-	-	-	-	-	-	-	-	-	-0.028	1.962	-0.028	1.962
ITGA5	P08648	protein_coding	12	q13.13	-	-	-	-	0.002	largescale	0.002	-	2974	7.129	0.422	-	-	-	-	-	-	-	-	-	-	-	-	0.011	2.015	0.011	2.015
ITGA6	P23229	protein_coding	2	q31.1	-	-	-	-	-0.005	largescale	-0.005	-	10168	27.548	0.717	-	-	-	-	-	-	-	-	-	-	-	-	-0.028	1.962	-0.028	1.962
ITGA7	Q13683	protein_coding	12	q13.2	-	-	-	-	0.002	largescale	0.002	-	6188	17.625	-0.466	-	-	-	-	-	-	-	-	-	-	-	-	0.011	2.015	0.011	2.015
TRHR	P34981	protein_coding	8	q23.1	yes	-	-	-	0.003	largescale	0.003	-	0	0.000	-	-	-	-	-	-	-	-	-	-	-	-	THYROTROPIN-RELEASING	0.017	2.023	0.017	2.023
CA15P1	-	pseudogene	22	q11.21	-	-	-	-	-0.003	largescale	-0.003	-	2	0.040	-	-	-	-	-	-	-	-	-	-	-	-	-	-0.017	1.977	-0.017	1.977
CA15P2	-	pseudogene	22	q11.21	-	-	-	-	-0.003	largescale	-0.003	-	0	0.000	-	-	-	-	-	-	-	-	-	-	-	-	-	-0.017	1.977	-0.017	1.977
UFSP1	-	protein_coding	7	q22.1	-	-	-	-	0.126	largescale	0.126	-	65	1.188	-1.169	-	-	-	-	-	-	-	-	-	-	-	-	0.592	3.014	0.592	3.014
UFSP2	-	protein_coding	4	q35.1	-	-	-	-	0.008	largescale	0.008	-	2663	17.393	-0.183	-	-	-	-	-	-	-	-	-	-	-	-	0.044	2.062	0.044	2.062
MT-CYB	-	-	-	-	-	-	-	-	-	-	-	-	1683522	26799.493	1.610	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
TEX28P2	-	protein_coding	X	q28	-	-	-	-	0.023	largescale	0.023	-	0	0.000	-	-	-	-	-	-	-	-	-	-	-	-	-	0.123	1.089	0.123	1.089
TEX28P1	-	protein_coding	X	q28	-	-	-	-	0.023	largescale	0.023	-	0	0.000	-	-	-	-	-	-	-	-	-	-	-	-	-	0.123	1.089	0.123	1.089
FAM212B	-	protein_coding	1	p13.2	-	-	-	-	-0.015	largescale	-0.015	-	3740	7.385	0.179	-	-	-	-	-	-	-	-	-	-	-	-	-0.085	1.885	-0.085	1.885
FAM212A	-	protein_coding	3	p21.31	-	-	-	-	-0.003	largescale	-0.003	-	392	6.846	0.509	-	-	-	-	-	-	-	-	-	-	-	-	-0.017	1.977	-0.017	1.977
CHST9	-	protein_coding	18	q11.2	-	-	-	-	-0.004	largescale	-0.004	-	631	4.834	-0.550	-	-	-	-	-	-	-	-	-	-	-	-	-0.022	1.969	-0.022	1.969
CHST8	-	protein_coding	19	q13.11	-	-	-	-	0.024	focal	0.024	-	57	0.339	-0.856	-	-	-	-	-	-	-	-	-	-	-	-	0.129	2.186	0.129	2.186
CHST1	-	protein_coding	11	p11.2	-	-	-	-	0.000	largescale	0.0	-	2170	11.332	0.479	-	-	-	-	-	-	-	-	-	-	-	-	-0.000	2.000	-0.000	2.000
TTTY25P	-	pseudogene	Y	q11.223	-	-	-	-	0.027	largescale	0.027	-	0	0.000	-	-	-	-	-	-	-	-	-	-	-	-	-	0.144	1.105	0.144	1.105
CHST3	-	protein_coding	10	q22.1	-	-	-	-	-0.130	largescale	-0.13	-	2120	5.525	0.698	-	-	-	-	-	-	-	-	-	-	-	-	-0.940	1.043	-0.940	1.043
CHST2	-	protein_coding	3	q24	-	-	-	-	-0.006	largescale	-0.006	-	1850	9.530	-1.051	-	-	-	-	-	-	-	-	-	-	-	-	-0.034	1.954	-0.034	1.954
CHST5	-	protein_coding	16	q23.1	-	-	-	-	-0.049	largescale	-0.049	-	13	0.071	-	-	-	-	-	-	-	-	-	-	-	-	-	-0.296	1.629	-0.296	1.629
CHST4	-	protein_coding	16	q22.2	-	-	-	-	-0.049	largescale	-0.049	-	0	0.000	-	-	-	-	-	-	-	-	-	-	-	-	-	-0.296	1.629	-0.296	1.629
CHST7	-	protein_coding	X	p11.23	-	-	-	-	0.014	largescale	0.014	-	1163	9.228	0.199	-	-	-	-	-	-	-	-	-	-	-	-	0.076	1.054	0.076	1.054
