Gene	Uniprot	Biotype	Chr	Cytoband	Druggable	Cancer_Gene_Census	Oncogene	Tumor_suppressor	CNV_log2_ratios	CNV_type	CNV_max_abs_log2	SV	RNA_raw_count	RNA_TPM	RNA_z_score	Variant	Variant_Chr_Pos	Actionable	Variant_Impact	DNA_Tumor_VAF	DNA_Tumor_DP	DNA_Normal_VAF	DNA_Normal_DP	RNA_Tumor_VAF	RNA_Tumor_DP	Tier	Drugs	CNV_log2_adj	CNV_copies	CNV_log2_max_adj	CNV_max_copies
PSMA2P3	-	pseudogene	2	q33.1	-	-	-	-	0.016	largescale	0.016	-	0	0.000	-	-	-	-	-	-	-	-	-	-	-	-	-	0.018	2.046	0.018	2.046
PSMA2P1	-	pseudogene	11	q14.2	-	-	-	-	0.023	largescale	0.023	-	0	0.000	-	-	-	-	-	-	-	-	-	-	-	-	-	0.026	2.057	0.026	2.057
CPHL1P	-	pseudogene	3	q25.1	-	-	-	-	0.021	largescale	0.021	-	6	0.033	-	-	-	-	-	-	-	-	-	-	-	-	-	0.024	2.054	0.024	2.054
SSXP10	-	pseudogene	6	q22.31	-	-	-	-	-0.030	largescale	-0.03	-	0	0.000	-	-	-	-	-	-	-	-	-	-	-	-	-	-0.035	1.972	-0.035	1.972
TCOF1	-	protein_coding	5	q32	-	-	-	-	0.022	largescale	0.022	-	2605	5.068	-1.121	-	-	-	-	-	-	-	-	-	-	-	-	0.025	2.056	0.025	2.056
NSRP1	-	protein_coding	17	q11.2	-	-	-	-	0.037	focal	0.037	-	4220	19.265	-0.823	-	-	-	-	-	-	-	-	-	-	-	-	0.042	2.080	0.042	2.080
SPPL3	-	protein_coding	12	q24.31	-	-	-	-	0.022	largescale	0.022	-	8690	28.577	-0.906	-	-	-	-	-	-	-	-	-	-	-	-	0.025	2.056	0.025	2.056
OPA3	-	protein_coding	19	q13.32	-	-	-	-	0.327	focal	0.327	-	1724	3.783	-0.724	-	-	-	-	-	-	-	-	-	-	-	-	0.370	2.611	0.370	2.611
OPA1	-	protein_coding	3	q29	-	-	-	-	0.021	largescale	0.021	-	9454	24.553	-1.071	-	-	-	-	-	-	-	-	-	-	-	-	0.024	2.054	0.024	2.054
RNU6-1209P	-	snRNA	8	q22.1	-	-	-	-	0.006	largescale	0.006	-	1	0.205	-	-	-	-	-	-	-	-	-	-	-	-	-	0.007	2.030	0.007	2.030
RNU4ATAC18P	-	snRNA	6	q25.3	-	-	-	-	-0.030	largescale	-0.03	-	10	1.741	-	-	-	-	-	-	-	-	-	-	-	-	-	-0.035	1.972	-0.035	1.972
RNF219-AS1	-	antisense	13	q31.1,q22.3	-	-	-	-	-0.028	largescale	-0.028	-	177	0.442	0.024	-	-	-	-	-	-	-	-	-	-	-	-	-0.032	1.975	-0.032	1.975
ITGA8	P53708	protein_coding	10	p13	-	-	-	-	-0.793	largescale	-0.793	-	74	0.216	-1.228	-	-	-	-	-	-	-	-	-	-	-	-	-0.960	1.038	-0.960	1.038
ITGA9	Q13797	protein_coding	3	p22.2	-	-	-	-	-0.016	largescale	-0.016	-	351	0.930	-1.063	-	-	-	-	-	-	-	-	-	-	-	-	-0.018	1.994	-0.018	1.994
ITGA1	P56199	protein_coding	5	q11.2	-	-	-	-	0.022	largescale	0.022	-	997	1.178	-1.344	-	-	-	-	-	-	-	-	-	-	-	-	0.025	2.056	0.025	2.056
ITGA2	P17301	protein_coding	5	q11.2	-	-	-	-	0.022	largescale	0.022	-	2152	5.969	-0.137	-	-	-	-	-	-	-	-	-	-	-	-	0.025	2.056	0.025	2.056
ITGA3	P26006	protein_coding	17	q21.33	-	-	-	-	0.032	focal	0.032	-	7122	15.942	1.519	-	-	-	-	-	-	-	-	-	-	-	-	0.037	2.072	0.037	2.072
ITGA4	P13612	protein_coding	2	q31.3	-	-	-	-	0.016	largescale	0.016	-	404	1.122	-0.728	-	-	-	-	-	-	-	-	-	-	-	-	0.018	2.046	0.018	2.046
ITGA5	P08648	protein_coding	12	q13.13	-	-	-	-	0.022	largescale	0.022	-	2303	6.669	-0.145	-	-	-	-	-	-	-	-	-	-	-	-	0.025	2.056	0.025	2.056
ITGA6	P23229	protein_coding	2	q31.1	-	-	-	-	0.016	largescale	0.016	-	9327	30.525	0.955	-	-	-	-	-	-	-	-	-	-	-	-	0.018	2.046	0.018	2.046
ITGA7	Q13683	protein_coding	12	q13.2	-	-	-	-	0.022	largescale	0.022	-	16110	55.428	1.117	-	-	-	-	-	-	-	-	-	-	-	-	0.025	2.056	0.025	2.056
TRHR	P34981	protein_coding	8	q23.1	yes	-	-	-	0.006	largescale	0.006	-	0	0.000	-	-	-	-	-	-	-	-	-	-	-	-	THYROTROPIN-RELEASING	0.007	2.030	0.007	2.030
CA15P1	-	pseudogene	22	q11.21	-	-	-	-	-0.211	largescale	-0.211	-	5	0.121	-	-	-	-	-	-	-	-	-	-	-	-	-	-0.245	1.704	-0.245	1.704
CA15P2	-	pseudogene	22	q11.21	-	-	-	-	-0.211	largescale	-0.211	-	0	0.000	-	-	-	-	-	-	-	-	-	-	-	-	-	-0.245	1.704	-0.245	1.704
UFSP1	-	protein_coding	7	q22.1	-	-	-	-	0.465	largescale	0.465	-	215	4.746	0.637	-	-	-	-	-	-	-	-	-	-	-	-	0.523	2.903	0.523	2.903
UFSP2	-	protein_coding	4	q35.1	-	-	-	-	0.000	focal	0.0	-	4854	38.296	0.307	-	-	-	-	-	-	-	-	-	-	-	-	0.000	2.020	0.000	2.020
MT-CYB	-	-	-	-	-	-	-	-	-	-	-	-	429144	8252.171	0.720	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
TEX28P2	-	protein_coding	X	q28	-	-	-	-	0.010	largescale	0.01	-	0	0.000	-	-	-	-	-	-	-	-	-	-	-	-	-	0.011	2.036	0.011	2.036
TEX28P1	-	protein_coding	X	q28	-	-	-	-	0.010	largescale	0.01	-	0	0.000	-	-	-	-	-	-	-	-	-	-	-	-	-	0.011	2.036	0.011	2.036
FAM212B	-	protein_coding	1	p13.2	-	-	-	-	-0.139	largescale	-0.139	-	2772	6.612	-1.301	-	-	-	-	-	-	-	-	-	-	-	-	-0.161	1.807	-0.161	1.807
FAM212A	-	protein_coding	3	p21.31	-	-	-	-	-0.016	largescale	-0.016	-	202	4.262	-0.910	-	-	-	-	-	-	-	-	-	-	-	-	-0.018	1.994	-0.018	1.994
CHST9	-	protein_coding	18	q11.2	-	-	-	-	0.012	largescale	0.012	-	345	3.193	-1.365	-	-	-	-	-	-	-	-	-	-	-	-	0.014	2.039	0.014	2.039
CHST8	-	protein_coding	19	q13.11	-	-	-	-	0.459	largescale	0.459	-	1630	11.722	0.590	-	-	-	-	-	-	-	-	-	-	-	-	0.517	2.890	0.517	2.890
CHST1	-	protein_coding	11	p11.2	-	-	-	-	-0.126	largescale	-0.126	-	781	4.927	0.133	-	-	-	-	-	-	-	-	-	-	-	-	-0.146	1.826	-0.146	1.826
TTTY25P	-	pseudogene	Y	q11.223	-	-	-	-	0.188	largescale	0.188	-	0	0.000	-	-	-	-	-	-	-	-	-	-	-	-	-	NA	NA	NA	NA
CHST3	-	protein_coding	10	q22.1	-	-	-	-	-0.787	largescale	-0.787	-	1771	5.575	-1.104	-	-	-	-	-	-	-	-	-	-	-	-	-0.953	1.044	-0.953	1.044
CHST2	-	protein_coding	3	q24	-	-	-	-	0.021	largescale	0.021	-	7366	45.835	1.570	-	-	-	-	-	-	-	-	-	-	-	-	0.024	2.054	0.024	2.054
CHST5	-	protein_coding	16	q23.1	-	-	-	-	0.020	largescale	0.02	-	14	0.092	-	-	-	-	-	-	-	-	-	-	-	-	-	0.023	2.052	0.023	2.052
CHST4	-	protein_coding	16	q22.2	-	-	-	-	0.020	largescale	0.02	-	2	0.017	-	-	-	-	-	-	-	-	-	-	-	-	-	0.023	2.052	0.023	2.052
