Gene	Uniprot	Biotype	Chr	Cytoband	Druggable	Cancer_Gene_Census	Oncogene	Tumor_suppressor	CNV_log2_ratios	CNV_type	CNV_max_abs_log2	SV	RNA_raw_count	RNA_TPM	RNA_z_score	Variant	Variant_Chr_Pos	Actionable	Variant_Impact	DNA_Tumor_VAF	DNA_Tumor_DP	DNA_Normal_VAF	DNA_Normal_DP	RNA_Tumor_VAF	RNA_Tumor_DP	Tier	Drugs	CNV_log2_adj	CNV_copies	CNV_log2_max_adj	CNV_max_copies
PSMA2P3	-	pseudogene	2	q33.1	-	-	-	-	-0.300	largescale	-0.3	-	0	0.000	-	-	-	-	-	-	-	-	-	-	-	-	-	-0.346	2.918	-0.346	2.918
PSMA2P1	-	pseudogene	11	q14.2	-	-	-	-	0.057	largescale	0.057	-	0	0.000	-	-	-	-	-	-	-	-	-	-	-	-	-	0.065	3.880	0.065	3.880
CPHL1P	-	pseudogene	3	q25.1	-	-	-	-	0.079	largescale	0.079	-	0	0.000	-	-	-	-	-	-	-	-	-	-	-	-	-	0.089	3.947	0.089	3.947
SSXP10	-	pseudogene	6	q22.31	-	-	-	-	0.009	largescale	0.009	-	0	0.000	-	-	-	-	-	-	-	-	-	-	-	-	-	0.010	3.736	0.010	3.736
TCOF1	-	protein_coding	5	q32	-	-	-	-	0.064	largescale	0.064	-	7364	36.255	2.216	-	-	-	-	-	-	-	-	-	-	-	-	0.073	3.901	0.073	3.901
NSRP1	-	protein_coding	17	q11.2	-	-	-	-	0.062	largescale	0.062	-	4486	51.828	1.131	-	-	-	-	-	-	-	-	-	-	-	-	0.070	3.895	0.070	3.895
SPPL3	-	protein_coding	12	q24.31	-	-	-	-	0.073	largescale	0.073	-	6515	54.218	0.594	-	-	-	-	-	-	-	-	-	-	-	-	0.083	3.929	0.083	3.929
OPA3	-	protein_coding	19	q13.32	-	-	-	-	0.033	largescale	0.033	-	1830	10.162	1.183	-	-	-	-	-	-	-	-	-	-	-	-	0.037	3.808	0.037	3.808
OPA1	-	protein_coding	3	q29	-	-	-	-	0.027	focal	0.027	-	12230	80.382	1.233	-	-	-	-	-	-	-	-	-	-	-	-	0.031	3.790	0.031	3.790
RNU6-1209P	-	snRNA	8	q22.1	-	-	-	-	1.054	focal	1.054	-	0	0.000	-	-	-	-	-	-	-	-	-	-	-	-	-	1.153	8.247	1.153	8.247
RNU4ATAC18P	-	snRNA	6	q25.3	-	-	-	-	0.009	largescale	0.009	-	9	3.966	-	-	-	-	-	-	-	-	-	-	-	-	-	0.010	3.736	0.010	3.736
RNF219-AS1	-	antisense	13	q31.1,q22.3	-	-	-	-	0.615	focal	0.615	-	34	0.215	-0.666	-	-	-	-	-	-	-	-	-	-	-	-	0.682	5.951	0.682	5.951
ITGA8	P53708	protein_coding	10	p13	-	-	-	-	0.043	largescale	0.043	-	728	5.370	1.527	-	-	-	-	-	-	-	-	-	-	-	-	0.049	3.838	0.049	3.838
ITGA9	Q13797	protein_coding	3	p22.2	-	-	-	-	0.092	largescale	0.092	-	3304	22.164	1.236	-	-	-	-	-	-	-	-	-	-	-	-	0.104	3.988	0.104	3.988
ITGA1	P56199	protein_coding	5	q11.2	-	-	-	-	0.064	largescale	0.064	-	3628	10.850	0.824	-	-	-	-	-	-	-	-	-	-	-	-	0.073	3.901	0.073	3.901
ITGA2	P17301	protein_coding	5	q11.2	-	-	-	-	0.064	largescale	0.064	-	930	6.528	-0.392	-	-	-	-	-	-	-	-	-	-	-	-	0.073	3.901	0.073	3.901
ITGA3	P26006	protein_coding	17	q21.33	-	-	-	-	0.080	largescale	0.08	-	306	1.733	-0.677	-	-	-	-	-	-	-	-	-	-	-	-	0.091	3.950	0.091	3.950
ITGA4	P13612	protein_coding	2	q31.3	-	-	-	-	-0.300	largescale	-0.3	-	162	1.138	-1.113	-	-	-	-	-	-	-	-	-	-	-	-	-0.346	2.918	-0.346	2.918
ITGA5	P08648	protein_coding	12	q13.13	-	-	-	-	0.073	largescale	0.073	-	1850	13.557	0.420	-	-	-	-	-	-	-	-	-	-	-	-	0.083	3.929	0.083	3.929
ITGA6	P23229	protein_coding	2	q31.1	-	-	-	-	-0.300	largescale	-0.3	-	1356	11.231	-1.409	-	-	-	-	-	-	-	-	-	-	-	-	-0.346	2.918	-0.346	2.918
ITGA7	Q13683	protein_coding	12	q13.2	-	-	-	-	0.073	largescale	0.073	-	1960	17.066	-0.559	-	-	-	-	-	-	-	-	-	-	-	-	0.083	3.929	0.083	3.929
TRHR	P34981	protein_coding	8	q23.1	yes	-	-	-	1.025	largescale	1.025	-	0	0.000	-	-	-	-	-	-	-	-	-	-	-	-	THYROTROPIN-RELEASING	1.122	8.073	1.122	8.073
CA15P1	-	pseudogene	22	q11.21	-	-	-	-	-0.839	focal	-0.839	-	1	0.061	-	-	-	-	-	-	-	-	-	-	-	-	-	-1.003	1.851	-1.003	1.851
CA15P2	-	pseudogene	22	q11.21	-	-	-	-	-0.804	focal	-0.804	-	0	0.000	-	-	-	-	-	-	-	-	-	-	-	-	-	-0.959	1.909	-0.959	1.909
UFSP1	-	protein_coding	7	q22.1	-	-	-	-	0.044	largescale	0.044	-	55	3.072	0.071	-	-	-	-	-	-	-	-	-	-	-	-	0.050	3.841	0.050	3.841
UFSP2	-	protein_coding	4	q35.1	-	-	-	-	-0.369	largescale	-0.369	-	1467	29.290	-0.966	-	-	-	-	-	-	-	-	-	-	-	-	-0.428	2.759	-0.428	2.759
MT-CYB	-	-	-	-	-	-	-	-	-	-	-	-	124413	6054.366	-0.348	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
TEX28P2	-	protein_coding	X	q28	-	-	-	-	0.036	largescale	0.036	-	0	0.000	-	-	-	-	-	-	-	-	-	-	-	-	-	0.041	1.908	0.041	1.908
TEX28P1	-	protein_coding	X	q28	-	-	-	-	0.036	largescale	0.036	-	0	0.000	-	-	-	-	-	-	-	-	-	-	-	-	-	0.041	1.908	0.041	1.908
FAM212B	-	protein_coding	1	p13.2	-	-	-	-	0.646	focal	0.646	-	7502	45.282	0.810	-	-	-	-	-	-	-	-	-	-	-	-	0.715	6.091	0.715	6.091
FAM212A	-	protein_coding	3	p21.31	-	-	-	-	0.092	largescale	0.092	-	261	13.935	0.908	-	-	-	-	-	-	-	-	-	-	-	-	0.104	3.988	0.104	3.988
CHST9	-	protein_coding	18	q11.2	-	-	-	-	0.079	largescale	0.079	-	692	16.206	-0.198	-	-	-	-	-	-	-	-	-	-	-	-	0.089	3.947	0.089	3.947
CHST8	-	protein_coding	19	q13.11	-	-	-	-	0.033	largescale	0.033	-	641	11.666	0.574	-	-	-	-	-	-	-	-	-	-	-	-	0.037	3.808	0.037	3.808
CHST1	-	protein_coding	11	p11.2	-	-	-	-	-0.857	largescale	-0.857	-	139	2.219	-1.260	-	-	-	-	-	-	-	-	-	-	-	-	-1.026	1.822	-1.026	1.822
TTTY25P	-	pseudogene	Y	q11.223	-	-	-	-	-4.442	largescale	-4.442	-	0	0.000	-	-	-	-	-	-	-	-	-	-	-	-	-	-27.467	0.000	-27.467	0.000
CHST3	-	protein_coding	10	q22.1	-	-	-	-	0.043	largescale	0.043	-	3400	27.085	0.791	-	-	-	-	-	-	-	-	-	-	-	-	0.049	3.838	0.049	3.838
CHST2	-	protein_coding	3	q24	-	-	-	-	0.079	largescale	0.079	-	708	11.149	-0.354	-	-	-	-	-	-	-	-	-	-	-	-	0.089	3.947	0.089	3.947
CHST5	-	protein_coding	16	q23.1	-	-	-	-	-0.853	focal	-0.853	-	2	0.033	-	-	-	-	-	-	-	-	-	-	-	-	-	-1.021	1.828	-1.021	1.828
CHST4	-	protein_coding	16	q22.2	-	-	-	-	-0.853	focal	-0.853	-	1	0.021	-	-	-	-	-	-	-	-	-	-	-	-	-	-1.021	1.828	-1.021	1.828
CHST7	-	protein_coding	X	p11.23	-	-	-	-	0.036	largescale	0.036	-	57	1.383	-1.436	-	-	-	-	-	-	-	-	-	-	-	-	0.041	1.908	0.041	1.908
CHST6	-	protein_coding	16	q23.1	-	-	-	-	-0.853	focal	-0.853	-	7	0.112	-1.297	-	-	-	-	-	-	-	-	-	-	-	-	-1.021	1.828	-1.021	1.828
ITGAX	P20702	protein_coding	16	p11.2	-	-	-	-	-0.323	largescale	-0.323	-	108	0.918	-1.144	-	-	-	-	-	-	-	-	-	-	-	-	-0.373	2.864	-0.373	2.864
RPS4XP3	-	pseudogene	20	q13.31	-	-	-	-	0.068	largescale	0.068	-	12	1.613	-	-	-	-	-	-	-	-	-	-	-	-	-	0.077	3.913	0.077	3.913
RNA5SP356	-	rRNA	12	p11.22	-	-	-	-	0.073	largescale	0.073	-	0	0.000	-	-	-	-	-	-	-	-	-	-	-	-	-	0.083	3.929	0.083	3.929
RPS4XP6	-	pseudogene	5	p13.2	-	-	-	-	0.064	largescale	0.064	-	12	0.836	-	-	-	-	-	-	-	-	-	-	-	-	-	0.073	3.901	0.073	3.901
RPS4XP7	-	pseudogene	6	p23	-	-	-	-	-0.854	largescale	-0.854	-	0	0.000	-	-	-	-	-	-	-	-	-	-	-	-	-	-1.022	1.827	-1.022	1.827
RPS4XP4	-	pseudogene	1	p36.12	-	-	-	-	0.382	largescale	0.382	-	0	0.000	-	-	-	-	-	-	-	-	-	-	-	-	-	0.427	4.988	0.427	4.988
BCL2A1	Q16548	protein_coding	15	q25.1	-	-	-	-	0.071	largescale	0.071	-	2	0.102	-2.099	-	-	-	-	-	-	-	-	-	-	-	-	0.080	3.923	0.080	3.923
RPS4XP8	-	pseudogene	6	q25.2	-	-	-	-	0.009	largescale	0.009	-	0	0.000	-	-	-	-	-	-	-	-	-	-	-	-	-	0.010	3.736	0.010	3.736
RPS4XP9	-	pseudogene	6	q22.32	-	-	-	-	0.009	largescale	0.009	-	0	0.000	-	-	-	-	-	-	-	-	-	-	-	-	-	0.010	3.736	0.010	3.736
RNU4-76P	-	snRNA	6	q22.31	-	-	-	-	0.009	largescale	0.009	-	0	0.000	-	-	-	-	-	-	-	-	-	-	-	-	-	0.010	3.736	0.010	3.736
ITGAV	P06756	protein_coding	2	q32.1	yes	-	-	-	-0.300	largescale	-0.3	-	6151	41.595	-1.465	-	-	-	-	-	-	-	-	-	-	-	CILENGITIDE	-0.346	2.918	-0.346	2.918
ITGAL	P20701	protein_coding	16	p11.2	-	-	-	-	-0.323	largescale	-0.323	-	34	0.292	-1.388	-	-	-	-	-	-	-	-	-	-	-	-	-0.373	2.864	-0.373	2.864
ITGAM	P11215	protein_coding	16	p11.2	-	-	-	-	-0.323	largescale	-0.323	-	573	5.616	0.163	-	-	-	-	-	-	-	-	-	-	-	-	-0.373	2.864	-0.373	2.864
ITGAD	Q13349	protein_coding	16	p11.2	-	-	-	-	-0.323	largescale	-0.323	-	4	0.050	-	-	-	-	-	-	-	-	-	-	-	-	-	-0.373	2.864	-0.373	2.864
ITGAE	P38570	protein_coding	17	p13.2	-	-	-	-	0.059	focal	0.059	-	3491	29.118	0.280	-	-	-	-	-	-	-	-	-	-	-	-	0.067	3.886	0.067	3.886
ATP1B3-AS1	-	antisense	3	q23	-	-	-	-	0.079	largescale	0.079	-	0	0.000	-	-	-	-	-	-	-	-	-	-	-	-	-	0.089	3.947	0.089	3.947
