Gene	Uniprot	Biotype	Chr	Cytoband	Druggable	Cancer_Gene_Census	Oncogene	Tumor_suppressor	CNV_log2_ratios	CNV_type	CNV_max_abs_log2	SV	RNA_raw_count	RNA_TPM	RNA_z_score	Variant	Variant_Chr_Pos	Actionable	Variant_Impact	DNA_Tumor_VAF	DNA_Tumor_DP	DNA_Normal_VAF	DNA_Normal_DP	RNA_Tumor_VAF	RNA_Tumor_DP	Tier	Drugs	CNV_log2_adj	CNV_copies	CNV_log2_max_adj	CNV_max_copies
PSMA2P3	-	pseudogene	2	q33.1	-	-	-	-	-0.005	focal	-0.005	-	7	0.777	-	-	-	-	-	-	-	-	-	-	-	-	-	-0.012	1.984	-0.012	1.984
PSMA2P1	-	pseudogene	11	q14.2	-	-	-	-	-0.023	focal	-0.023	-	3	0.348	-	-	-	-	-	-	-	-	-	-	-	-	-	-0.054	1.926	-0.054	1.926
CPHL1P	-	pseudogene	3	q25.1	-	-	-	-	0.000	focal	0.0	-	9	0.171	-	-	-	-	-	-	-	-	-	-	-	-	-	-0.000	2.000	-0.000	2.000
SSXP10	-	pseudogene	6	q22.31	-	-	-	-	-0.011	largescale	-0.011	-	63	8.358	-	-	-	-	-	-	-	-	-	-	-	-	-	-0.026	1.965	-0.026	1.965
TCOF1	-	protein_coding	5	q32	-	-	-	-	-0.024	focal	-0.024	-	9875	65.635	-0.931	-	-	-	-	-	-	-	-	-	-	-	-	-0.056	1.923	-0.056	1.923
NSRP1	-	protein_coding	17	q11.2	-	-	-	-	0.004	focal	0.004	-	9196	143.433	0.639	-	-	-	-	-	-	-	-	-	-	-	-	0.009	2.013	0.009	2.013
SPPL3	-	protein_coding	12	q24.31	-	-	-	-	0.066	focal	0.066	-	676	7.595	-0.068	-	-	-	-	-	-	-	-	-	-	-	-	0.149	2.218	0.149	2.218
OPA3	-	protein_coding	19	q13.32	-	-	-	-	0.066	focal	0.066	-	1268	9.506	1.183	-	-	-	-	-	-	-	-	-	-	-	-	0.149	2.218	0.149	2.218
OPA1	-	protein_coding	3	q29	-	-	-	-	0.009	focal	0.009	-	3742	33.203	-1.434	-	-	-	-	-	-	-	-	-	-	-	-	0.021	2.029	0.021	2.029
RNU6-1209P	-	snRNA	8	q22.1	-	-	-	-	-0.014	focal	-0.014	-	0	0.000	-	-	-	-	-	-	-	-	-	-	-	-	-	-0.033	1.955	-0.033	1.955
RNU4ATAC18P	-	snRNA	6	q25.3	-	-	-	-	0.110	focal	0.11	-	2	1.190	-	-	-	-	-	-	-	-	-	-	-	-	-	0.244	2.369	0.244	2.369
RNF219-AS1	-	antisense	13	q31.1,q22.3	-	-	-	-	-0.008	largescale	-0.008	-	224	1.910	0.636	-	-	-	-	-	-	-	-	-	-	-	-	-0.019	1.974	-0.019	1.974
ITGA8	P53708	protein_coding	10	p13	-	-	-	-	-0.277	focal	-0.277	-	504	5.019	1.216	-	-	-	-	-	-	-	-	-	-	-	-	-0.752	1.187	-0.752	1.187
ITGA9	Q13797	protein_coding	3	p22.2	-	-	-	-	-0.017	largescale	-0.017	-	1793	16.238	-0.320	-	-	-	-	-	-	-	-	-	-	-	-	-0.040	1.946	-0.040	1.946
ITGA1	P56199	protein_coding	5	q11.2	-	-	-	-	-0.014	largescale	-0.014	-	4843	19.554	-0.071	-	-	-	-	-	-	-	-	-	-	-	-	-0.033	1.955	-0.033	1.955
ITGA2	P17301	protein_coding	5	q11.2	-	-	-	-	-0.014	largescale	-0.014	-	1211	11.476	-0.810	-	-	-	-	-	-	-	-	-	-	-	-	-0.033	1.955	-0.033	1.955
