Gene	Uniprot	Biotype	Chr	Cytoband	Druggable	Cancer_Gene_Census	Oncogene	Tumor_suppressor	CNV_log2_ratios	CNV_type	CNV_max_abs_log2	SV	RNA_raw_count	RNA_TPM	RNA_z_score	Variant	Variant_Chr_Pos	Actionable	Variant_Impact	DNA_Tumor_VAF	DNA_Tumor_DP	DNA_Normal_VAF	DNA_Normal_DP	RNA_Tumor_VAF	RNA_Tumor_DP	Tier	Drugs	CNV_log2_adj	CNV_copies	CNV_log2_max_adj	CNV_max_copies
PSMA2P3	-	pseudogene	2	q33.1	-	-	-	-	0.048	largescale	0.048	-	0	0.000	-	-	-	-	-	-	-	-	-	-	-	-	-	0.051	2.031	0.051	2.031
PSMA2P1	-	pseudogene	11	q14.2	-	-	-	-	0.059	largescale	0.059	-	0	0.000	-	-	-	-	-	-	-	-	-	-	-	-	-	0.063	2.047	0.063	2.047
CPHL1P	-	pseudogene	3	q25.1	-	-	-	-	0.617	largescale	0.617	-	0	0.000	-	-	-	-	-	-	-	-	-	-	-	-	-	0.649	3.073	0.649	3.073
SSXP10	-	pseudogene	6	q22.31	-	-	-	-	0.045	largescale	0.045	-	0	0.000	-	-	-	-	-	-	-	-	-	-	-	-	-	0.048	2.026	0.048	2.026
TCOF1	-	protein_coding	5	q32	-	-	-	-	0.042	largescale	0.042	-	639	1.585	-1.565	-	-	-	-	-	-	-	-	-	-	-	-	0.045	2.022	0.045	2.022
NSRP1	-	protein_coding	17	q11.2	-	-	-	-	0.067	focal	0.067	-	1655	9.631	-1.540	-	-	-	-	-	-	-	-	-	-	-	-	0.071	2.059	0.071	2.059
SPPL3	-	protein_coding	12	q24.31	-	-	-	-	0.061	largescale	0.061	-	6414	26.885	0.201	-	-	-	-	-	-	-	-	-	-	-	-	0.065	2.050	0.065	2.050
OPA3	-	protein_coding	19	q13.32	-	-	-	-	-0.781	focal	-0.781	-	262	0.733	-2.648	-	-	-	-	-	-	-	-	-	-	-	-	-0.849	1.088	-0.849	1.088
OPA1	-	protein_coding	3	q29	-	-	-	-	0.600	largescale	0.6	-	6602	21.856	-0.472	-	-	-	-	-	-	-	-	-	-	-	-	0.631	3.035	0.631	3.035
RNU6-1209P	-	snRNA	8	q22.1	-	-	-	-	0.048	largescale	0.048	-	1	0.261	-	-	-	-	-	-	-	-	-	-	-	-	-	0.051	2.031	0.051	2.031
RNU4ATAC18P	-	snRNA	6	q25.3	-	-	-	-	0.045	largescale	0.045	-	12	2.664	-	-	-	-	-	-	-	-	-	-	-	-	-	0.048	2.026	0.048	2.026
RNF219-AS1	-	antisense	13	q31.1,q22.3	-	-	-	-	0.024	largescale	0.024	-	1685	5.361	1.365	-	-	-	-	-	-	-	-	-	-	-	-	0.026	1.995	0.026	1.995
ITGA8	P53708	protein_coding	10	p13	-	-	-	-	-0.815	largescale	-0.815	-	182	0.676	-0.147	-	-	-	-	-	-	-	-	-	-	-	-	-0.887	1.060	-0.887	1.060
ITGA9	Q13797	protein_coding	3	p22.2	-	-	-	-	0.059	largescale	0.059	-	109	0.368	-1.253	-	-	-	-	-	-	-	-	-	-	-	-	0.063	2.047	0.063	2.047
ITGA1	P56199	protein_coding	5	q11.2	-	-	-	-	0.042	largescale	0.042	-	2763	4.162	-0.223	-	-	-	-	-	-	-	-	-	-	-	-	0.045	2.022	0.045	2.022
ITGA2	P17301	protein_coding	5	q11.2	-	-	-	-	0.042	largescale	0.042	-	748	2.645	-0.683	-	-	-	-	-	-	-	-	-	-	-	-	0.045	2.022	0.045	2.022
ITGA3	P26006	protein_coding	17	q21.33	-	-	-	-	0.238	largescale	0.238	-	493	1.407	-0.504	-	-	-	-	-	-	-	-	-	-	-	-	0.252	2.334	0.252	2.334
ITGA4	P13612	protein_coding	2	q31.3	-	-	-	-	0.048	largescale	0.048	-	240	0.850	-1.344	-	-	-	-	-	-	-	-	-	-	-	-	0.051	2.031	0.051	2.031
ITGA5	P08648	protein_coding	12	q13.13	-	-	-	-	0.061	largescale	0.061	-	746	2.754	-0.881	-	-	-	-	-	-	-	-	-	-	-	-	0.065	2.050	0.065	2.050
ITGA6	P23229	protein_coding	2	q31.1	-	-	-	-	0.048	largescale	0.048	-	4383	18.284	-0.461	-	-	-	-	-	-	-	-	-	-	-	-	0.051	2.031	0.051	2.031
ITGA7	Q13683	protein_coding	12	q13.2	-	-	-	-	0.061	largescale	0.061	-	1183	5.188	-0.862	-	-	-	-	-	-	-	-	-	-	-	-	0.065	2.050	0.065	2.050
TRHR	P34981	protein_coding	8	q23.1	yes	-	-	-	0.048	largescale	0.048	-	4	0.067	-	-	-	-	-	-	-	-	-	-	-	-	THYROTROPIN-RELEASING	0.051	2.031	0.051	2.031
CA15P1	-	pseudogene	22	q11.21	-	-	-	-	-0.764	focal	-0.764	-	0	0.000	-	-	-	-	-	-	-	-	-	-	-	-	-	-0.830	1.103	-0.830	1.103
CA15P2	-	pseudogene	22	q11.21	-	-	-	-	-0.764	focal	-0.764	-	0	0.000	-	-	-	-	-	-	-	-	-	-	-	-	-	-0.830	1.103	-0.830	1.103
UFSP1	-	protein_coding	7	q22.1	-	-	-	-	0.601	largescale	0.601	-	136	3.826	0.887	-	-	-	-	-	-	-	-	-	-	-	-	0.632	3.038	0.632	3.038
UFSP2	-	protein_coding	4	q35.1	-	-	-	-	0.016	largescale	0.016	-	6284	63.195	1.812	-	-	-	-	-	-	-	-	-	-	-	-	0.017	1.983	0.017	1.983
MT-CYB	-	-	-	-	-	-	-	-	-	-	-	-	201817	4946.715	-0.209	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
TEX28P2	-	protein_coding	X	q28	-	-	-	-	-0.851	focal	-0.851	-	0	0.000	-	-	-	-	-	-	-	-	-	-	-	-	-	-0.927	1.031	-0.927	1.031
TEX28P1	-	protein_coding	X	q28	-	-	-	-	-0.851	focal	-0.851	-	0	0.000	-	-	-	-	-	-	-	-	-	-	-	-	-	-0.927	1.031	-0.927	1.031
FAM212B	-	protein_coding	1	p13.2	-	-	-	-	0.051	largescale	0.051	-	3547	10.784	0.052	-	-	-	-	-	-	-	-	-	-	-	-	0.054	2.035	0.054	2.035
FAM212A	-	protein_coding	3	p21.31	-	-	-	-	0.040	largescale	0.04	-	164	4.410	1.054	-	-	-	-	-	-	-	-	-	-	-	-	0.043	2.019	0.043	2.019
CHST9	-	protein_coding	18	q11.2	-	-	-	-	0.049	largescale	0.049	-	1474	17.386	-0.027	-	-	-	-	-	-	-	-	-	-	-	-	0.052	2.032	0.052	2.032
CHST8	-	protein_coding	19	q13.11	-	-	-	-	0.129	largescale	0.129	-	33	0.302	-0.370	-	-	-	-	-	-	-	-	-	-	-	-	0.137	2.155	0.137	2.155
CHST1	-	protein_coding	11	p11.2	-	-	-	-	0.077	largescale	0.077	-	564	4.535	0.825	-	-	-	-	-	-	-	-	-	-	-	-	0.082	2.074	0.082	2.074
TTTY25P	-	pseudogene	Y	q11.223	-	-	-	-	0.146	largescale	0.146	-	0	0.000	-	-	-	-	-	-	-	-	-	-	-	-	-	NA	NA	NA	NA
CHST3	-	protein_coding	10	q22.1	-	-	-	-	-0.780	largescale	-0.78	-	923	3.704	-0.764	-	-	-	-	-	-	-	-	-	-	-	-	-0.848	1.089	-0.848	1.089
CHST2	-	protein_coding	3	q24	-	-	-	-	0.617	largescale	0.617	-	936	7.424	-0.247	-	-	-	-	-	-	-	-	-	-	-	-	0.649	3.073	0.649	3.073
CHST5	-	protein_coding	16	q23.1	-	-	-	-	0.082	largescale	0.082	-	10	0.084	-	-	-	-	-	-	-	-	-	-	-	-	-	0.087	2.082	0.087	2.082
CHST4	-	protein_coding	16	q22.2	-	-	-	-	0.082	largescale	0.082	-	8	0.086	-	-	-	-	-	-	-	-	-	-	-	-	-	0.087	2.082	0.087	2.082
CHST7	-	protein_coding	X	p11.23	-	-	-	-	-0.816	largescale	-0.816	-	335	4.093	-0.071	-	-	-	-	-	-	-	-	-	-	-	-	-0.888	1.059	-0.888	1.059
CHST6	-	protein_coding	16	q23.1	-	-	-	-	0.082	largescale	0.082	-	282	2.273	0.529	-	-	-	-	-	-	-	-	-	-	-	-	0.087	2.082	0.087	2.082
ITGAX	P20702	protein_coding	16	p11.2	-	-	-	-	0.082	largescale	0.082	-	400	1.712	-0.445	-	-	-	-	-	-	-	-	-	-	-	-	0.087	2.082	0.087	2.082
RPS4XP3	-	pseudogene	20	q13.31	-	-	-	-	0.098	largescale	0.098	-	14	0.948	-	-	-	-	-	-	-	-	-	-	-	-	-	0.104	2.107	0.104	2.107
RNA5SP356	-	rRNA	12	p11.22	-	-	-	-	0.061	largescale	0.061	-	0	0.000	-	-	-	-	-	-	-	-	-	-	-	-	-	0.065	2.050	0.065	2.050
RPS4XP6	-	pseudogene	5	p13.2	-	-	-	-	0.042	largescale	0.042	-	4	0.140	-	-	-	-	-	-	-	-	-	-	-	-	-	0.045	2.022	0.045	2.022
RPS4XP7	-	pseudogene	6	p23	-	-	-	-	0.045	largescale	0.045	-	0	0.000	-	-	-	-	-	-	-	-	-	-	-	-	-	0.048	2.026	0.048	2.026
RPS4XP4	-	pseudogene	1	p36.12	-	-	-	-	0.153	focal	0.153	-	7	0.257	-	-	-	-	-	-	-	-	-	-	-	-	-	0.162	2.193	0.162	2.193
