Gene	Uniprot	Biotype	Chr	Cytoband	Druggable	Cancer_Gene_Census	Oncogene	Tumor_suppressor	CNV_log2_ratios	CNV_type	CNV_max_abs_log2	SV	RNA_raw_count	RNA_TPM	RNA_z_score	Variant	Variant_Chr_Pos	Actionable	Variant_Impact	DNA_Tumor_VAF	DNA_Tumor_DP	DNA_Normal_VAF	DNA_Normal_DP	RNA_Tumor_VAF	RNA_Tumor_DP	Tier	Drugs	CNV_log2_adj	CNV_copies	CNV_log2_max_adj	CNV_max_copies
PSMA2P3	-	pseudogene	2	q33.1	-	-	-	-	0.005	largescale	0.005	-	0	0.000	-	-	-	-	-	-	-	-	-	-	-	-	-	0.008	2.212	0.008	2.212
PSMA2P1	-	pseudogene	11	q14.2	-	-	-	-	-0.003	largescale	-0.003	-	0	0.000	-	-	-	-	-	-	-	-	-	-	-	-	-	-0.005	2.193	-0.005	2.193
CPHL1P	-	pseudogene	3	q25.1	-	-	-	-	0.017	largescale	0.017	-	10	0.045	-	-	-	-	-	-	-	-	-	-	-	-	-	0.026	2.240	0.026	2.240
SSXP10	-	pseudogene	6	q22.31	-	-	-	-	0.009	largescale	0.009	-	0	0.000	-	-	-	-	-	-	-	-	-	-	-	-	-	0.014	2.221	0.014	2.221
TCOF1	-	protein_coding	5	q32	-	-	-	-	0.016	largescale	0.016	-	2905	4.537	0.371	-	-	-	-	-	-	-	-	-	-	-	-	0.025	2.238	0.025	2.238
NSRP1	-	protein_coding	17	q11.2	-	-	-	-	0.030	largescale	0.03	-	13137	48.148	1.197	-	-	-	-	-	-	-	-	-	-	-	-	0.046	2.271	0.046	2.271
SPPL3	-	protein_coding	12	q24.31	-	-	-	-	0.000	largescale	0.0	-	11001	29.043	-0.577	-	-	-	-	-	-	-	-	-	-	-	-	0.000	2.200	0.000	2.200
OPA3	-	protein_coding	19	q13.32	-	-	-	-	0.025	largescale	0.025	-	3456	6.088	0.120	-	-	-	-	-	-	-	-	-	-	-	-	0.038	2.259	0.038	2.259
OPA1	-	protein_coding	3	q29	-	-	-	-	0.021	focal	0.021	-	20198	42.114	-0.528	-	-	-	-	-	-	-	-	-	-	-	-	0.032	2.250	0.032	2.250
RNU6-1209P	-	snRNA	8	q22.1	-	-	-	-	0.017	largescale	0.017	-	0	0.000	-	-	-	-	-	-	-	-	-	-	-	-	-	0.026	2.240	0.026	2.240
RNU4ATAC18P	-	snRNA	6	q25.3	-	-	-	-	0.009	largescale	0.009	-	37	5.172	-	-	-	-	-	-	-	-	-	-	-	-	-	0.014	2.221	0.014	2.221
RNF219-AS1	-	antisense	13	q31.1,q22.3	-	-	-	-	-0.596	largescale	-0.596	-	447	0.896	-0.453	-	-	-	-	-	-	-	-	-	-	-	-	-1.061	1.055	-1.061	1.055
ITGA8	P53708	protein_coding	10	p13	-	-	-	-	-0.579	largescale	-0.579	-	223	0.522	-1.528	-	-	-	-	-	-	-	-	-	-	-	-	-1.025	1.081	-1.025	1.081
ITGA9	Q13797	protein_coding	3	p22.2	-	-	-	-	0.017	largescale	0.017	-	1480	3.150	0.219	-	-	-	-	-	-	-	-	-	-	-	-	0.026	2.240	0.026	2.240
ITGA1	P56199	protein_coding	5	q11.2	-	-	-	-	0.016	largescale	0.016	-	5505	5.223	-0.516	-	-	-	-	-	-	-	-	-	-	-	-	0.025	2.238	0.025	2.238
ITGA2	P17301	protein_coding	5	q11.2	-	-	-	-	0.016	largescale	0.016	-	14421	32.113	0.989	-	-	-	-	-	-	-	-	-	-	-	-	0.025	2.238	0.025	2.238
ITGA3	P26006	protein_coding	17	q21.33	-	-	-	-	0.030	largescale	0.03	-	15619	28.068	1.216	-	-	-	-	-	-	-	-	-	-	-	-	0.046	2.271	0.046	2.271
ITGA4	P13612	protein_coding	2	q31.3	-	-	-	-	0.005	largescale	0.005	-	2801	6.245	0.370	-	-	-	-	-	-	-	-	-	-	-	-	0.008	2.212	0.008	2.212
ITGA5	P08648	protein_coding	12	q13.13	-	-	-	-	0.000	largescale	0.0	-	6500	15.111	-0.216	-	-	-	-	-	-	-	-	-	-	-	-	0.000	2.200	0.000	2.200
ITGA6	P23229	protein_coding	2	q31.1	-	-	-	-	0.005	largescale	0.005	-	22910	60.195	-0.020	-	-	-	-	-	-	-	-	-	-	-	-	0.008	2.212	0.008	2.212
ITGA7	Q13683	protein_coding	12	q13.2	-	-	-	-	0.000	largescale	0.0	-	5877	16.233	-0.495	-	-	-	-	-	-	-	-	-	-	-	-	0.000	2.200	0.000	2.200
TRHR	P34981	protein_coding	8	q23.1	yes	-	-	-	0.017	largescale	0.017	-	2	0.021	-	-	-	-	-	-	-	-	-	-	-	-	THYROTROPIN-RELEASING	0.026	2.240	0.026	2.240
CA15P1	-	pseudogene	22	q11.21	-	-	-	-	0.028	largescale	0.028	-	6	0.117	-	-	-	-	-	-	-	-	-	-	-	-	-	0.043	2.266	0.043	2.266
