Gene	Uniprot	Biotype	Chr	Cytoband	Druggable	Cancer_Gene_Census	Oncogene	Tumor_suppressor	CNV_log2_ratios	CNV_type	CNV_max_abs_log2	SV	RNA_raw_count	RNA_TPM	RNA_z_score	Variant	Variant_Chr_Pos	Actionable	Variant_Impact	DNA_Tumor_VAF	DNA_Tumor_DP	DNA_Normal_VAF	DNA_Normal_DP	RNA_Tumor_VAF	RNA_Tumor_DP	Tier	Drugs	CNV_log2_adj	CNV_copies	CNV_log2_max_adj	CNV_max_copies
PSMA2P3	-	pseudogene	2	q33.1	-	-	-	-	0.009	largescale	0.009	-	0	0.000	-	-	-	-	-	-	-	-	-	-	-	-	-	0.013	2.291	0.013	2.291
PSMA2P1	-	pseudogene	11	q14.2	-	-	-	-	0.008	largescale	0.008	-	0	0.000	-	-	-	-	-	-	-	-	-	-	-	-	-	0.012	2.288	0.012	2.288
CPHL1P	-	pseudogene	3	q25.1	-	-	-	-	0.010	largescale	0.01	-	0	0.000	-	-	-	-	-	-	-	-	-	-	-	-	-	0.014	2.293	0.014	2.293
SSXP10	-	pseudogene	6	q22.31	-	-	-	-	0.008	largescale	0.008	-	1	0.041	-	-	-	-	-	-	-	-	-	-	-	-	-	0.012	2.288	0.012	2.288
TCOF1	-	protein_coding	5	q32	-	-	-	-	0.012	largescale	0.012	-	892	1.845	-1.704	-	-	-	-	-	-	-	-	-	-	-	-	0.017	2.297	0.017	2.297
NSRP1	-	protein_coding	17	q11.2	-	-	-	-	-0.010	largescale	-0.01	-	5281	25.633	-0.226	-	-	-	-	-	-	-	-	-	-	-	-	-0.015	2.247	-0.015	2.247
SPPL3	-	protein_coding	12	q24.31	-	-	-	-	0.003	largescale	0.003	-	6273	21.933	-0.998	-	-	-	-	-	-	-	-	-	-	-	-	0.004	2.277	0.004	2.277
OPA3	-	protein_coding	19	q13.32	-	-	-	-	0.098	focal	0.098	-	772	1.801	-0.962	-	-	-	-	-	-	-	-	-	-	-	-	0.140	2.501	0.140	2.501
OPA1	-	protein_coding	3	q29	-	-	-	-	-0.648	focal	-0.648	-	3921	10.827	-1.996	-	-	-	-	-	-	-	-	-	-	-	-	-1.072	1.080	-1.072	1.080
RNU6-1209P	-	snRNA	8	q22.1	-	-	-	-	0.003	largescale	0.003	-	2	0.436	-	-	-	-	-	-	-	-	-	-	-	-	-	0.004	2.277	0.004	2.277
RNU4ATAC18P	-	snRNA	6	q25.3	-	-	-	-	0.008	largescale	0.008	-	19	3.518	-	-	-	-	-	-	-	-	-	-	-	-	-	0.012	2.288	0.012	2.288
RNF219-AS1	-	antisense	13	q31.1,q22.3	-	-	-	-	-0.635	largescale	-0.635	-	246	0.653	-0.593	-	-	-	-	-	-	-	-	-	-	-	-	-1.047	1.099	-1.047	1.099
ITGA8	P53708	protein_coding	10	p13	-	-	-	-	-0.642	largescale	-0.642	-	71	0.220	-0.987	-	-	-	-	-	-	-	-	-	-	-	-	-1.061	1.088	-1.061	1.088
ITGA9	Q13797	protein_coding	3	p22.2	-	-	-	-	0.010	largescale	0.01	-	354	0.998	0.335	-	-	-	-	-	-	-	-	-	-	-	-	0.014	2.293	0.014	2.293
ITGA1	P56199	protein_coding	5	q11.2	-	-	-	-	0.011	largescale	0.011	-	1047	1.316	-1.510	-	-	-	-	-	-	-	-	-	-	-	-	0.016	2.295	0.016	2.295
ITGA2	P17301	protein_coding	5	q11.2	-	-	-	-	0.011	largescale	0.011	-	818	2.412	-0.814	-	-	-	-	-	-	-	-	-	-	-	-	0.016	2.295	0.016	2.295
ITGA3	P26006	protein_coding	17	q21.33	-	-	-	-	-0.008	largescale	-0.008	-	2381	5.667	0.441	-	-	-	-	-	-	-	-	-	-	-	-	-0.012	2.252	-0.012	2.252
ITGA4	P13612	protein_coding	2	q31.3	-	-	-	-	0.009	largescale	0.009	-	794	2.344	1.146	-	-	-	-	-	-	-	-	-	-	-	-	0.013	2.291	0.013	2.291
ITGA5	P08648	protein_coding	12	q13.13	-	-	-	-	0.004	largescale	0.004	-	1551	4.775	-0.360	-	-	-	-	-	-	-	-	-	-	-	-	0.006	2.279	0.006	2.279
ITGA6	P23229	protein_coding	2	q31.1	-	-	-	-	0.009	largescale	0.009	-	5565	19.364	-1.335	-	-	-	-	-	-	-	-	-	-	-	-	0.013	2.291	0.013	2.291
ITGA7	Q13683	protein_coding	12	q13.2	-	-	-	-	0.004	largescale	0.004	-	3038	11.113	-0.974	-	-	-	-	-	-	-	-	-	-	-	-	0.006	2.279	0.006	2.279
TRHR	P34981	protein_coding	8	q23.1	yes	-	-	-	0.008	largescale	0.008	-	1	0.014	-	-	-	-	-	-	-	-	-	-	-	-	THYROTROPIN-RELEASING	0.012	2.288	0.012	2.288
CA15P1	-	pseudogene	22	q11.21	-	-	-	-	-0.011	largescale	-0.011	-	0	0.000	-	-	-	-	-	-	-	-	-	-	-	-	-	-0.016	2.245	-0.016	2.245
CA15P2	-	pseudogene	22	q11.21	-	-	-	-	-0.011	largescale	-0.011	-	0	0.000	-	-	-	-	-	-	-	-	-	-	-	-	-	-0.016	2.245	-0.016	2.245
UFSP1	-	protein_coding	7	q22.1	-	-	-	-	0.003	focal	0.003	-	53	1.244	0.041	-	-	-	-	-	-	-	-	-	-	-	-	0.004	2.277	0.004	2.277
UFSP2	-	protein_coding	4	q35.1	-	-	-	-	0.016	largescale	0.016	-	3795	31.833	0.211	-	-	-	-	-	-	-	-	-	-	-	-	0.023	2.307	0.023	2.307
MT-CYB	-	-	-	-	-	-	-	-	-	-	-	-	742743	15185.389	-0.209	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
