Gene	Uniprot	Biotype	Chr	Cytoband	Druggable	Cancer_Gene_Census	Oncogene	Tumor_suppressor	CNV_log2_ratios	CNV_type	CNV_max_abs_log2	SV	RNA_raw_count	RNA_TPM	RNA_z_score	Variant	Variant_Chr_Pos	Actionable	Variant_Impact	DNA_Tumor_VAF	DNA_Tumor_DP	DNA_Normal_VAF	DNA_Normal_DP	RNA_Tumor_VAF	RNA_Tumor_DP	Tier	Drugs	CNV_log2_adj	CNV_copies	CNV_log2_max_adj	CNV_max_copies
PSMA2P3	-	pseudogene	2	q33.1	-	-	-	-	-0.119	largescale	-0.119	-	2	0.075	-	-	-	-	-	-	-	-	-	-	-	-	-	-0.122	2.123	-0.122	2.123
PSMA2P1	-	pseudogene	11	q14.2	-	-	-	-	0.083	largescale	0.083	-	0	0.000	-	-	-	-	-	-	-	-	-	-	-	-	-	0.085	2.450	0.085	2.450
CPHL1P	-	pseudogene	3	q25.1	-	-	-	-	-0.641	largescale	-0.641	-	2	0.013	-	-	-	-	-	-	-	-	-	-	-	-	-	-0.658	1.464	-0.658	1.464
SSXP10	-	pseudogene	6	q22.31	-	-	-	-	-0.687	largescale	-0.687	-	0	0.000	-	-	-	-	-	-	-	-	-	-	-	-	-	-0.705	1.417	-0.705	1.417
TCOF1	-	protein_coding	5	q32	-	-	-	-	-0.204	largescale	-0.204	-	1311	2.930	-0.228	-	-	-	-	-	-	-	-	-	-	-	-	-0.208	1.999	-0.208	1.999
NSRP1	-	protein_coding	17	q11.2	-	-	-	-	0.093	largescale	0.093	-	2364	12.398	-0.603	-	-	-	-	-	-	-	-	-	-	-	-	0.095	2.467	0.095	2.467
SPPL3	-	protein_coding	12	q24.31	-	-	-	-	0.354	largescale	0.354	-	6442	24.336	0.086	-	-	-	-	-	-	-	-	-	-	-	-	0.360	2.966	0.360	2.966
OPA3	-	protein_coding	19	q13.32	-	-	-	-	0.073	focal	0.073	-	790	1.991	-0.220	-	-	-	-	-	-	-	-	-	-	-	-	0.074	2.432	0.074	2.432
OPA1	-	protein_coding	3	q29	-	-	-	-	0.211	focal	0.211	-	7481	22.320	-0.109	-	-	-	-	-	-	-	-	-	-	-	-	0.215	2.681	0.215	2.681
RNU6-1209P	-	snRNA	8	q22.1	-	-	-	-	0.121	largescale	0.121	-	9	2.120	-	-	-	-	-	-	-	-	-	-	-	-	-	0.123	2.516	0.123	2.516
RNU4ATAC18P	-	snRNA	6	q25.3	-	-	-	-	-0.727	largescale	-0.727	-	11	2.200	-	-	-	-	-	-	-	-	-	-	-	-	-	-0.746	1.377	-0.746	1.377
RNF219-AS1	-	antisense	13	q31.1,q22.3	-	-	-	-	-0.115	largescale	-0.115	-	153	0.439	-0.264	-	-	-	-	-	-	-	-	-	-	-	-	-0.117	2.129	-0.117	2.129
ITGA8	P53708	protein_coding	10	p13	-	-	-	-	-0.214	largescale	-0.214	-	101	0.338	-0.854	-	-	-	-	-	-	-	-	-	-	-	-	-0.219	1.985	-0.219	1.985
ITGA9	Q13797	protein_coding	3	p22.2	-	-	-	-	0.203	largescale	0.203	-	281	0.856	-0.530	-	-	-	-	-	-	-	-	-	-	-	-	0.207	2.666	0.207	2.666
ITGA1	P56199	protein_coding	5	q11.2	-	-	-	-	-0.148	largescale	-0.148	-	1069	1.451	-1.571	-	-	-	-	-	-	-	-	-	-	-	-	-0.151	2.080	-0.151	2.080
ITGA2	P17301	protein_coding	5	q11.2	-	-	-	-	-0.148	largescale	-0.148	-	877	2.795	-0.519	-	-	-	-	-	-	-	-	-	-	-	-	-0.151	2.080	-0.151	2.080
ITGA3	P26006	protein_coding	17	q21.33	-	-	-	-	0.093	largescale	0.093	-	226	0.581	-1.311	-	-	-	-	-	-	-	-	-	-	-	-	0.095	2.467	0.095	2.467
ITGA4	P13612	protein_coding	2	q31.3	-	-	-	-	-0.119	largescale	-0.119	-	350	1.117	-0.945	-	-	-	-	-	-	-	-	-	-	-	-	-0.122	2.123	-0.122	2.123
ITGA5	P08648	protein_coding	12	q13.13	-	-	-	-	0.354	largescale	0.354	-	424	1.410	-1.816	-	-	-	-	-	-	-	-	-	-	-	-	0.360	2.966	0.360	2.966
ITGA6	P23229	protein_coding	2	q31.1	-	-	-	-	-0.119	largescale	-0.119	-	3157	11.870	-1.135	-	-	-	-	-	-	-	-	-	-	-	-	-0.122	2.123	-0.122	2.123
ITGA7	Q13683	protein_coding	12	q13.2	-	-	-	-	0.354	largescale	0.354	-	553	2.186	-1.815	-	-	-	-	-	-	-	-	-	-	-	-	0.360	2.966	0.360	2.966
TRHR	P34981	protein_coding	8	q23.1	yes	-	-	-	0.121	largescale	0.121	-	0	0.000	-	-	-	-	-	-	-	-	-	-	-	-	THYROTROPIN-RELEASING	0.123	2.516	0.123	2.516
CA15P1	-	pseudogene	22	q11.21	-	-	-	-	0.039	focal	0.039	-	1	0.028	-	-	-	-	-	-	-	-	-	-	-	-	-	0.040	2.375	0.040	2.375
CA15P2	-	pseudogene	22	q11.21	-	-	-	-	0.039	focal	0.039	-	0	0.000	-	-	-	-	-	-	-	-	-	-	-	-	-	0.040	2.375	0.040	2.375
UFSP1	-	protein_coding	7	q22.1	-	-	-	-	0.354	focal	0.354	-	109	2.764	0.243	-	-	-	-	-	-	-	-	-	-	-	-	0.360	2.966	0.360	2.966
UFSP2	-	protein_coding	4	q35.1	-	-	-	-	-0.896	focal	-0.896	-	1685	15.272	-2.039	-	-	-	-	-	-	-	-	-	-	-	-	-0.922	1.220	-0.922	1.220
MT-CYB	-	-	-	-	-	-	-	-	-	-	-	-	303591	6706.507	0.426	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
TEX28P2	-	protein_coding	X	q28	-	-	-	-	0.122	largescale	0.122	-	0	0.000	-	-	-	-	-	-	-	-	-	-	-	-	-	0.124	1.259	0.124	1.259
TEX28P1	-	protein_coding	X	q28	-	-	-	-	0.122	largescale	0.122	-	0	0.000	-	-	-	-	-	-	-	-	-	-	-	-	-	0.124	1.259	0.124	1.259
FAM212B	-	protein_coding	1	p13.2	-	-	-	-	0.137	focal	0.137	-	6044	16.561	0.578	-	-	-	-	-	-	-	-	-	-	-	-	0.140	2.545	0.140	2.545
FAM212A	-	protein_coding	3	p21.31	-	-	-	-	0.203	largescale	0.203	-	38	0.921	-1.380	-	-	-	-	-	-	-	-	-	-	-	-	0.207	2.666	0.207	2.666
CHST9	-	protein_coding	18	q11.2	-	-	-	-	0.091	focal	0.091	-	2165	23.015	0.254	-	-	-	-	-	-	-	-	-	-	-	-	0.093	2.463	0.093	2.463
CHST8	-	protein_coding	19	q13.11	-	-	-	-	0.070	largescale	0.07	-	25	0.207	-0.595	-	-	-	-	-	-	-	-	-	-	-	-	0.071	2.427	0.071	2.427
CHST1	-	protein_coding	11	p11.2	-	-	-	-	0.083	largescale	0.083	-	144	1.044	-1.368	-	-	-	-	-	-	-	-	-	-	-	-	0.085	2.450	0.085	2.450
TTTY25P	-	pseudogene	Y	q11.223	-	-	-	-	-4.588	focal	-4.588	-	0	0.000	-	-	-	-	-	-	-	-	-	-	-	-	-	-5.505	0.025	-5.505	0.025
